Codes,Names,over65,Workingage,Couple_househol_ with_dependent_children,Couple_household_without_dependent_children,One_person_household,Other_multi_person_household,Good_health,Fair_health,Bad_health,No_cars,car1,car2,No_qualifications,Level_1_qualifications,Level_2_qualifications, Apprenticeship,Level_3_qualifications,Level_4_qualifications_and_above,Other_qualifications,Employment Rate,Unemployment Rate,Economically_active_rate,Economically_inactive_rate,lntheft
E01000050,Barking and Dagenham 019C,11.5,61.65,17.9,16.4,31.2,16.3,78.5,14,7.5,47.6,42.9,8.1,28,10,11.6,1.7,9.1,26.3,13.3,48,11.8,41.24,25.71,2.33
E01000051,Barking and Dagenham 021D,2.54,63.36,18.8,9.9,32.4,13.4,82,12.3,5.7,60.7,35,3.7,26.5,12.9,14.8,1.2,9.2,22.9,12.5,42.1,17.9,38.3,26.67,2.18
E01000052,Barking and Dagenham 019D,9.93,63.85,18.3,16,29.6,16.5,80,13.4,6.6,43.7,45.4,9.5,25.6,13.1,11.6,1.6,9.9,24.6,13.5,57.3,8.7,48.21,20.56,2.52
E01000053,Barking and Dagenham 020A,10.71,64.65,16.3,19.5,37.4,10.5,77.3,14.3,8.4,45.7,41.7,10.2,28.8,17.7,13.4,1.8,7.5,20.6,10.2,57.9,11.4,47.88,21.41,2.49
E01000054,Barking and Dagenham 018A,11.58,62.05,22.7,25.5,23.4,10.2,79.7,13.7,6.6,32.9,47.5,17.4,33.6,14.3,18.5,1.7,7.7,16.6,7.5,58.3,10.3,45.98,20.95,1.07
E01000055,Barking and Dagenham 018B,8.95,65.81,24.1,23.8,23,10.2,81.1,13.3,5.5,33.9,47.1,14.3,27.6,17.5,16.4,2.3,8.6,18.4,9.1,58.8,11,49.58,20.8,1.17
E01000056,Barking and Dagenham 018C,10.1,61.62,25.7,18.7,23.2,8,79.9,14.2,5.9,34.6,47.1,15.7,32.2,15.1,16.6,2,8.8,16.5,8.6,54.5,11.7,44.19,21.97,3.2
E01000057,Barking and Dagenham 012A,9.16,61.63,20.5,18.1,22.5,13.4,81.3,12.8,5.9,37.6,49,10.8,26.8,16.4,14.5,2.6,8.9,21.2,9.4,56.9,9.4,44.85,21.12,2.54
E01000058,Barking and Dagenham 018D,8.22,65.44,19,19,27.2,15.8,82.5,11.7,5.8,36.8,48.8,11.9,27,15.3,15.4,2.1,8.9,21.4,9.8,59.3,8.9,48.03,21.42,1.69
E01000059,Barking and Dagenham 013C,11.63,62.45,21.6,19.9,26.5,8.7,79.1,14.3,6.6,35.8,43.4,16.8,34,14.5,17.8,2.5,7.3,16.4,7.5,57.6,10,44.82,21.55,1.15
E01000060,Barking and Dagenham 006B,13.49,58.93,16.1,17.3,37.1,10.1,80.5,13.9,5.6,41.8,44,12.2,31,15.9,14.7,2.4,9.7,18.7,7.6,55.9,12,43.67,21.23,3.9
E01000061,Barking and Dagenham 006C,3.66,63.29,19.2,10,28.7,7.6,82.8,11.9,5.3,63,29,7,30.7,20.1,16.9,1.1,7.5,17.2,6.6,47.7,18.6,42,22.97,1.91
E01000062,Barking and Dagenham 006D,13.93,61.07,19.2,21.9,30.2,10.4,80.5,13.1,6.5,36,45.7,15.2,31.3,15.6,14.3,3.3,9.5,19.3,6.7,56.4,12.3,46.52,20.03,2.16
E01000063,Barking and Dagenham 004A,11.73,62.41,20,20.8,29.1,10.6,78.3,15.7,6,38,43.9,15.6,30.4,17.8,16.7,2.2,11,14.7,7.2,58.9,11.6,46.73,21.23,1.31
E01000064,Barking and Dagenham 006E,15.8,60.38,17.6,22.4,27.9,11.3,76.1,17.6,6.2,38.8,43.9,13.8,32.9,16.3,15.2,3.3,7.8,17.8,6.7,57.5,9.9,45.17,20.97,2.36
