LSOA11CD,LSOA11NM,crime_sum
E01000925,Camden 009D,81
E01000926,Camden 009E,122
E01000927,Camden 007F,235
E01000928,Camden 003E,252
E01000929,Camden 020A,126
E01000930,Camden 020B,445
E01000931,Camden 013C,545
E01000932,Camden 013D,102
E01000933,Camden 020C,242
E01000934,Camden 020D,110
E01000935,Camden 020E,112
E01000936,Camden 024A,174
E01000937,Camden 025B,155
E01000938,Camden 024B,383
E01000939,Camden 024C,513
E01000940,Camden 024D,76
E01000941,Camden 025C,144
E01000942,Camden 025D,352
E01000943,Camden 025E,260
E01000944,Camden 023A,96
E01000945,Camden 023B,449
E01000946,Camden 021B,344
E01000947,Camden 021C,896
E01000948,Camden 021D,207
E01000949,Camden 023C,68
E01000950,Camden 023D,89
E01000951,Camden 023E,89
E01000952,Camden 022A,111
E01000953,Camden 022B,846
E01000954,Camden 022C,106
E01000955,Camden 022D,126
E01000956,Camden 022E,530
E01000957,Camden 019C,120
E01000958,Camden 019D,376
E01000959,Camden 019E,108
E01000960,Camden 017A,285
E01000961,Camden 017B,179
E01000962,Camden 016A,73
E01000963,Camden 017C,324
E01000964,Camden 016B,88
E01000965,Camden 016C,118
E01000966,Camden 016D,70
E01000967,Camden 017D,96
E01000968,Camden 016E,114
E01000969,Camden 010A,204
E01000970,Camden 010B,82
E01000971,Camden 010C,51
E01000972,Camden 010D,308
E01000973,Camden 010E,357
E01000974,Camden 013E,165
E01000975,Croydon 022A,132
E01000976,Croydon 022B,217
E01000977,Croydon 022C,117
E01000978,Croydon 022D,97
E01000979,Croydon 022E,365
E01000980,Croydon 017A,56
E01000981,Croydon 017B,90
E01000982,Croydon 017C,75
E01000983,Croydon 017D,74
E01000984,Croydon 022F,117
E01000985,Croydon 021A,76
E01000986,Croydon 021B,89
E01000987,Croydon 021C,64
E01000989,Croydon 018A,64
E01000990,Croydon 045A,126
E01000991,Croydon 018B,66
E01000992,Croydon 014A,176
E01000993,Croydon 021D,120
E01000994,Croydon 009A,101
E01000995,Croydon 009B,114
E01000996,Croydon 009C,40
E01000997,Croydon 009D,86
E01000998,Croydon 010A,177
E01000999,Croydon 009E,75
E01001000,Croydon 010B,123
E01001001,Croydon 013A,125
E01001002,Croydon 009F,67
E01001003,Croydon 010C,68
E01001004,Croydon 015A,129
E01001005,Croydon 019A,139
E01001006,Croydon 016A,193
E01001007,Croydon 016B,97
E01001008,Croydon 019B,123
E01001009,Croydon 019C,77
E01001010,Croydon 019D,522
E01001011,Croydon 019E,277
E01001012,Croydon 020A,174
E01001013,Croydon 020B,616
E01001014,Croydon 024A,1092
E01001015,Croydon 041A,82
E01001016,Croydon 041B,78
E01001017,Croydon 043A,32
E01001018,Croydon 044A,42
E01001019,Croydon 044B,44
E01001020,Croydon 044C,74
E01001021,Croydon 044D,60
E01001022,Croydon 044E,56
E01001023,Croydon 041C,225
E01001024,Croydon 043B,56
E01001025,Croydon 043C,31
E01001026,Croydon 043D,80
E01001027,Croydon 043E,87
E01001028,Croydon 038A,68
E01001029,Croydon 038B,119
E01001030,Croydon 038C,47
E01001031,Croydon 038D,68
E01001032,Croydon 035A,40
E01001033,Croydon 031A,109
E01001034,Croydon 031B,83
E01001035,Croydon 027A,74
E01001036,Croydon 029A,90
E01001037,Croydon 029B,142
E01001038,Croydon 029C,70
E01001039,Croydon 029D,45
E01001040,Croydon 029E,112
E01001041,Croydon 031C,125
E01001042,Croydon 024B,457
E01001043,Croydon 027B,1404
E01001044,Croydon 023A,106
E01001045,Croydon 027C,892
E01001046,Croydon 023B,44
E01001047,Croydon 027D,135
E01001048,Croydon 020C,828
E01001049,Croydon 023C,92
E01001050,Croydon 023D,62
E01001051,Croydon 030A,118
E01001052,Croydon 030B,125
E01001053,Croydon 032A,96
E01001054,Croydon 030C,94
E01001055,Croydon 032B,81
E01001056,Croydon 030D,122
E01001057,Croydon 030E,130
E01001058,Croydon 034A,30
E01001059,Croydon 034B,36
E01001060,Croydon 034C,64
E01001061,Croydon 034D,63
E01001062,Croydon 026A,172
E01001063,Croydon 026B,79
E01001064,Croydon 026C,124
E01001065,Croydon 034E,128
E01001066,Croydon 034F,74
E01001067,Croydon 041D,48
E01001068,Croydon 042A,90
E01001069,Croydon 040A,45
E01001070,Croydon 040B,49
E01001071,Croydon 042B,67
E01001072,Croydon 042C,31
E01001073,Croydon 037A,39
E01001074,Croydon 041E,78
E01001075,Croydon 040C,64
E01001076,Croydon 036A,186
E01001077,Croydon 032C,37
E01001078,Croydon 032D,125
E01001079,Croydon 036B,87
E01001080,Croydon 036C,126
E01001081,Croydon 036D,103
E01001082,Croydon 032E,102
E01001083,Croydon 003A,77
E01001084,Croydon 002A,111
E01001085,Croydon 004A,129
E01001086,Croydon 003B,88
E01001087,Croydon 003C,333
E01001088,Croydon 004B,60
E01001089,Croydon 004C,153
E01001090,Croydon 004D,108
E01001091,Croydon 004E,128
E01001092,Croydon 037B,115
E01001093,Croydon 037C,86
E01001094,Croydon 038E,42
E01001095,Croydon 031D,129
E01001096,Croydon 037D,43
E01001097,Croydon 037E,480
E01001098,Croydon 037F,53
E01001099,Croydon 040D,88
E01001100,Croydon 031E,51
E01001101,Croydon 035B,30
E01001102,Croydon 035C,91
E01001103,Croydon 039A,52
E01001104,Croydon 042D,54
E01001105,Croydon 039B,58
E01001106,Croydon 039C,60
E01001107,Croydon 035D,45
E01001108,Croydon 035E,39
E01001109,Croydon 013B,197
E01001110,Croydon 020D,190
E01001111,Croydon 010D,181
E01001112,Croydon 013C,166
E01001113,Croydon 013D,182
E01001114,Croydon 013E,203
E01001115,Croydon 015B,194
E01001116,Croydon 013F,143
E01001117,Croydon 015C,224
E01001118,Croydon 020E,316
E01001119,Croydon 034G,29
E01001120,Croydon 033A,52
E01001121,Croydon 039D,33
E01001122,Croydon 033B,56
E01001123,Croydon 033C,45
E01001124,Croydon 033D,22
E01001125,Croydon 033E,97
E01001126,Croydon 034H,26
E01001127,Croydon 025A,72
E01001128,Croydon 025B,82
E01001129,Croydon 026D,41
E01001130,Croydon 025C,99
E01001131,Croydon 018C,80
E01001132,Croydon 018D,66
E01001133,Croydon 026E,50
E01001134,Croydon 018E,42
E01001135,Croydon 025D,78
E01001136,Croydon 007A,281
E01001137,Croydon 001A,155
E01001138,Croydon 001B,94
E01001139,Croydon 007B,74
E01001140,Croydon 007C,91
E01001141,Croydon 008A,73
E01001142,Croydon 007D,167
E01001143,Croydon 008B,142
E01001144,Croydon 007E,117
E01001145,Croydon 008C,256
E01001146,Croydon 006A,65
E01001147,Croydon 005A,141
E01001148,Croydon 005B,93
E01001149,Croydon 006B,70
E01001150,Croydon 006C,111
E01001151,Croydon 005C,157
E01001152,Croydon 005D,169
E01001153,Croydon 006D,84
E01001154,Croydon 006E,208
E01001155,Croydon 010E,379
E01001156,Croydon 001C,60
E01001157,Croydon 002B,98
E01001158,Croydon 005E,90
E01001159,Croydon 002C,117
E01001160,Croydon 002D,106
E01001161,Croydon 003D,126
E01001162,Croydon 001D,136
E01001163,Croydon 002E,106
E01001164,Croydon 001E,247
E01001165,Croydon 024C,101
E01001166,Croydon 024D,138
E01001167,Croydon 028A,227
E01001168,Croydon 024E,137
E01001169,Croydon 028B,61
E01001170,Croydon 027E,129
E01001171,Croydon 028C,81
E01001172,Croydon 028D,346
E01001173,Croydon 028E,167
E01001174,Croydon 011A,71
E01001175,Croydon 011B,124
E01001176,Croydon 011C,140
E01001177,Croydon 016C,208
E01001178,Croydon 015D,356
E01001179,Croydon 016D,82
E01001180,Croydon 016E,118
E01001181,Croydon 015E,183
E01001182,Croydon 011D,105
E01001183,Croydon 011E,251
E01001184,Croydon 011F,69
E01001185,Croydon 014B,88
E01001186,Croydon 014C,150
E01001187,Croydon 017E,104
E01001188,Croydon 014D,124
E01001189,Croydon 045B,41
E01001190,Croydon 045C,102
E01001191,Croydon 008D,223
E01001192,Croydon 008E,108
E01001193,Croydon 014E,103
E01001194,Croydon 045D,90
E01001195,Ealing 021A,97
E01001196,Ealing 015A,160
E01001197,Ealing 021B,107
E01001198,Ealing 021C,63
E01001199,Ealing 021D,88
E01001200,Ealing 025A,80
E01001201,Ealing 025B,53
E01001202,Ealing 025C,359
E01001203,Ealing 025D,141
E01001204,Ealing 018A,93
E01001205,Ealing 018B,86
E01001206,Ealing 018C,98
E01001207,Ealing 018D,91
E01001208,Ealing 018E,52
E01001209,Ealing 013A,112
E01001210,Ealing 016A,148
E01001211,Ealing 013B,55
E01001212,Ealing 018F,50
E01001213,Ealing 023A,123
E01001214,Ealing 023B,73
E01001215,Ealing 023C,215
E01001216,Ealing 023D,63
E01001217,Ealing 014A,61
E01001218,Ealing 012A,111
E01001219,Ealing 029A,111
E01001220,Ealing 029B,143
E01001221,Ealing 020A,1141
E01001222,Ealing 019A,295
E01001223,Ealing 020B,71
E01001224,Ealing 019B,65
E01001225,Ealing 020C,382
E01001226,Ealing 019C,67
E01001227,Ealing 019D,34
E01001228,Ealing 019E,107
E01001229,Ealing 031A,104
E01001230,Ealing 031B,112
E01001231,Ealing 027A,171
E01001232,Ealing 031C,74
E01001233,Ealing 031D,169
E01001234,Ealing 027B,211
E01001235,Ealing 020D,138
E01001236,Ealing 020E,93
E01001237,Ealing 031E,116
E01001238,Ealing 015B,253
E01001239,Ealing 015C,96
E01001240,Ealing 024A,131
E01001241,Ealing 024B,165
E01001242,Ealing 024C,98
E01001243,Ealing 024D,187
E01001244,Ealing 024E,128
E01001245,Ealing 024F,156
E01001246,Ealing 015D,245
E01001247,Ealing 015E,764
E01001248,Ealing 035A,94
E01001249,Ealing 028A,376
E01001250,Ealing 028B,149
E01001251,Ealing 030A,100
E01001252,Ealing 030B,245
E01001253,Ealing 030C,62
E01001254,Ealing 030D,78
E01001255,Ealing 028C,46
E01001257,Ealing 008A,166
E01001258,Ealing 010B,65
E01001259,Ealing 014B,98
E01001260,Ealing 012B,100
E01001261,Ealing 012C,408
E01001262,Ealing 010C,97
E01001263,Ealing 010D,115
E01001264,Ealing 010E,81
E01001265,Ealing 006A,104
E01001266,Ealing 006B,229
E01001267,Ealing 006C,214
E01001268,Ealing 012D,74
E01001269,Ealing 001A,118
E01001270,Ealing 004A,73
E01001271,Ealing 001B,124
E01001272,Ealing 006D,191
E01001273,Ealing 020F,130
E01001274,Ealing 020G,56
E01001275,Ealing 020H,90
E01001276,Ealing 011A,152
E01001277,Ealing 011B,191
E01001278,Ealing 011C,210
E01001279,Ealing 013C,70
E01001280,Ealing 011D,79
E01001281,Ealing 013D,49
E01001282,Ealing 016B,58
E01001283,Ealing 016C,154
E01001284,Ealing 022A,83
E01001285,Ealing 016D,116
E01001286,Ealing 016E,91
E01001287,Ealing 016F,52
E01001288,Ealing 022B,78
E01001289,Ealing 022C,48
E01001290,Ealing 022D,115
E01001291,Ealing 014C,82
E01001292,Ealing 014D,62
E01001293,Ealing 014E,67
E01001294,Ealing 017A,74
E01001295,Ealing 017B,53
E01001296,Ealing 017C,61
E01001297,Ealing 017D,116
E01001298,Ealing 017E,111
E01001299,Ealing 035B,103
E01001300,Ealing 039A,61
E01001301,Ealing 039B,145
E01001302,Ealing 039C,93
E01001303,Ealing 032A,126
E01001304,Ealing 039D,68
E01001305,Ealing 035C,45
E01001306,Ealing 035D,50
E01001307,Ealing 002A,96
E01001308,Ealing 002B,80
E01001309,Ealing 001C,98
E01001310,Ealing 001D,135
E01001311,Ealing 001E,80
E01001312,Ealing 002C,114
E01001313,Ealing 002D,58
E01001314,Ealing 002E,46
E01001315,Ealing 003A,51
E01001316,Ealing 003B,118
E01001317,Ealing 003C,119
E01001318,Ealing 003D,156
E01001319,Ealing 004B,51
E01001320,Ealing 003E,110
E01001321,Ealing 003F,105
E01001322,Ealing 004C,213
E01001323,Ealing 004D,283
E01001324,Ealing 008B,145
E01001325,Ealing 009A,76
E01001326,Ealing 008C,205
E01001327,Ealing 009B,263
E01001328,Ealing 009C,199
E01001329,Ealing 009D,92
E01001330,Ealing 008D,149
E01001331,Ealing 009E,107
E01001332,Ealing 008E,96
E01001333,Ealing 038A,214
E01001334,Ealing 029C,76
E01001335,Ealing 038B,109
E01001336,Ealing 038C,91
E01001337,Ealing 029D,362
E01001338,Ealing 029E,184
E01001339,Ealing 029F,120
E01001340,Ealing 029G,346
E01001341,Ealing 005A,86
E01001342,Ealing 005B,75
E01001343,Ealing 005C,84
E01001344,Ealing 007A,140
E01001345,Ealing 005D,67
E01001346,Ealing 007B,58
E01001347,Ealing 007C,224
E01001348,Ealing 007D,258
E01001349,Ealing 006E,119
E01001350,Ealing 027C,55
E01001351,Ealing 025E,427
E01001352,Ealing 027D,138
E01001353,Ealing 033A,104
E01001354,Ealing 027E,330
E01001355,Ealing 033B,176
E01001356,Ealing 033C,122
E01001357,Ealing 033D,70
E01001358,Ealing 033E,139
E01001359,Ealing 026A,215
E01001360,Ealing 026B,119
E01001361,Ealing 023E,700
E01001362,Ealing 026C,173
E01001363,Ealing 026D,87
E01001364,Ealing 026E,151
E01001365,Ealing 026F,110
E01001366,Ealing 037A,89
E01001367,Ealing 037B,314
E01001368,Ealing 037C,80
E01001369,Ealing 038D,142
E01001370,Ealing 037D,169
E01001371,Ealing 037E,164
E01001372,Ealing 037F,103
E01001373,Ealing 037G,113
E01001374,Ealing 040A,62
E01001375,Ealing 034A,63
E01001376,Ealing 040B,91
E01001377,Ealing 034B,71
E01001379,Ealing 034C,67
E01001380,Ealing 040C,103
E01001381,Ealing 034D,251
E01001382,Ealing 032B,36
E01001383,Ealing 028D,54
E01001384,Ealing 032C,70
E01001385,Ealing 032D,81
E01001386,Ealing 031F,89
E01001387,Ealing 032E,175
E01001388,Ealing 028E,192
E01001389,Ealing 028F,334
E01001390,Enfield 036A,80
E01001391,Enfield 036B,104
E01001392,Enfield 032A,73
E01001393,Enfield 036C,110
E01001394,Enfield 035A,140
E01001395,Enfield 035B,119
E01001396,Enfield 036D,133
E01001397,Enfield 035C,127
E01001398,Enfield 021A,62
E01001399,Enfield 021B,75
E01001400,Enfield 021C,57
E01001401,Enfield 016A,31
E01001402,Enfield 021D,104
E01001403,Enfield 021E,78
E01001404,Enfield 026A,87
E01001405,Enfield 015A,75
E01001406,Enfield 015B,219
E01001407,Enfield 005A,110
E01001408,Enfield 004A,83
E01001409,Enfield 005B,117
E01001410,Enfield 005C,148
E01001411,Enfield 004B,150
E01001412,Enfield 004C,265
E01001413,Enfield 004D,64
E01001414,Enfield 004E,63
E01001415,Enfield 011A,312
E01001416,Enfield 013A,81
E01001417,Enfield 011B,127
E01001418,Enfield 011C,117
E01001419,Enfield 020A,164
E01001420,Enfield 020B,114
E01001421,Enfield 020C,92
E01001422,Enfield 011D,87
E01001423,Enfield 027A,117
E01001424,Enfield 030A,65
E01001425,Enfield 027B,307
E01001426,Enfield 030B,164
E01001427,Enfield 030C,282
E01001428,Enfield 027C,175
E01001429,Enfield 030D,818
E01001430,Enfield 030E,146
E01001431,Enfield 033A,174
E01001432,Enfield 033B,216
E01001433,Enfield 007A,149
E01001434,Enfield 007B,88
E01001435,Enfield 007C,86
E01001436,Enfield 007D,136
E01001437,Enfield 014A,282
E01001438,Enfield 007E,138
E01001439,Enfield 006A,321
E01001440,Enfield 012A,126
E01001441,Enfield 006B,174
E01001442,Enfield 002A,183
E01001444,Enfield 001A,80
E01001445,Enfield 003B,346
E01001446,Enfield 001B,90
E01001447,Enfield 003C,115
E01001448,Enfield 003D,98
E01001449,Enfield 003E,78
E01001450,Enfield 015C,495
E01001451,Enfield 017A,135
E01001452,Enfield 017B,65
E01001453,Enfield 017C,71
E01001454,Enfield 017D,104
E01001455,Enfield 021F,80
E01001456,Enfield 022A,65
E01001457,Enfield 010A,99
E01001458,Enfield 037A,164
E01001459,Enfield 024A,97
E01001460,Enfield 024B,172
E01001461,Enfield 027D,174
E01001462,Enfield 024C,98
E01001463,Enfield 031A,75
E01001464,Enfield 027E,81
E01001465,Enfield 031B,151
E01001466,Enfield 031C,117
E01001467,Enfield 031D,99
E01001468,Enfield 010B,148
E01001469,Enfield 008A,59
E01001470,Enfield 013B,90
E01001471,Enfield 010C,120
E01001472,Enfield 010D,88
E01001473,Enfield 013C,87
E01001474,Enfield 010E,69
E01001475,Enfield 013D,49
E01001476,Enfield 018A,110
E01001477,Enfield 018B,113
E01001478,Enfield 016B,67
E01001479,Enfield 023A,181
E01001480,Enfield 024D,108
E01001481,Enfield 018C,101
E01001482,Enfield 023B,107
E01001483,Enfield 025A,163
E01001484,Enfield 016C,142
E01001485,Enfield 025B,161
E01001486,Enfield 025C,161
E01001487,Enfield 023C,155
E01001488,Enfield 024E,127
E01001489,Enfield 023D,145
E01001491,Enfield 023E,149
E01001492,Enfield 025E,141
E01001493,Enfield 026B,109
E01001494,Enfield 026C,68
E01001495,Enfield 029A,112
E01001496,Enfield 026D,81
E01001497,Enfield 031E,77
E01001498,Enfield 029B,253
E01001499,Enfield 031F,118
E01001500,Enfield 035D,123
E01001501,Enfield 036E,234
E01001502,Enfield 018D,185
E01001503,Enfield 018E,117
E01001504,Enfield 012B,94
E01001505,Enfield 012C,122
E01001506,Enfield 014B,323
E01001507,Enfield 012D,465
E01001508,Enfield 012E,149
E01001509,Enfield 014C,133
E01001510,Enfield 014D,117
E01001511,Enfield 016D,247
E01001512,Enfield 015D,178
E01001513,Enfield 012F,606
E01001514,Enfield 016E,79
E01001515,Enfield 015E,143
E01001516,Enfield 005D,185
E01001517,Enfield 006C,137
E01001518,Enfield 016F,152
E01001519,Enfield 020D,556
E01001520,Enfield 019A,125
E01001521,Enfield 028A,88
E01001522,Enfield 019B,134
E01001523,Enfield 019C,84
E01001524,Enfield 019D,72
E01001525,Enfield 020E,106
E01001526,Enfield 019E,76
E01001527,Enfield 036F,123
E01001528,Enfield 032B,94
E01001529,Enfield 032C,131
E01001530,Enfield 032D,97
E01001531,Enfield 028B,68
E01001532,Enfield 028C,105
E01001533,Enfield 028D,62
E01001534,Enfield 032E,207
E01001535,Enfield 028E,79
E01001536,Enfield 008B,308
E01001537,Enfield 005E,82
E01001538,Enfield 009A,65
E01001539,Enfield 009B,94
E01001540,Enfield 008C,116
E01001541,Enfield 008D,52
E01001542,Enfield 008E,123
E01001543,Enfield 009C,63
E01001544,Enfield 009D,105
E01001545,Enfield 002B,108
E01001546,Enfield 001C,105
E01001547,Enfield 002C,156
E01001548,Enfield 002D,151
E01001549,Enfield 006D,175
E01001550,Enfield 006E,101
E01001551,Enfield 002E,213
E01001552,Enfield 001D,177
E01001553,Enfield 037B,107
E01001554,Enfield 037C,272
E01001555,Enfield 033C,276
E01001556,Enfield 035E,95
E01001557,Enfield 033D,96
E01001558,Enfield 033E,503
E01001559,Enfield 033F,724
E01001560,Enfield 035F,149
E01001562,Enfield 037D,153
E01001563,Enfield 029C,123
E01001564,Enfield 022B,88
E01001565,Enfield 029D,78
E01001566,Enfield 029E,87
E01001567,Enfield 022C,49
E01001568,Enfield 022D,68
E01001569,Enfield 022E,100
E01001570,Enfield 026E,197
E01001571,Greenwich 008A,134
E01001572,Greenwich 008B,96
E01001573,Greenwich 008C,88
E01001574,Greenwich 008D,147
E01001575,Greenwich 003A,229
E01001576,Greenwich 003B,164
E01001577,Greenwich 003C,143
E01001578,Greenwich 003D,227
E01001579,Greenwich 003E,179
E01001580,Greenwich 021A,209
E01001581,Greenwich 016A,124
E01001582,Greenwich 021B,147
E01001583,Greenwich 021C,112
E01001584,Greenwich 021D,92
E01001585,Greenwich 016B,98
E01001586,Greenwich 016C,78
E01001587,Greenwich 016D,128
E01001588,Greenwich 012A,126
E01001589,Greenwich 012B,187
E01001590,Greenwich 014A,107
E01001591,Greenwich 012C,152
E01001592,Greenwich 014B,132
E01001593,Greenwich 014C,76
E01001594,Greenwich 014D,122
E01001595,Greenwich 012D,124
E01001596,Greenwich 032A,66
E01001597,Greenwich 031A,100
E01001598,Greenwich 031B,93
E01001599,Greenwich 032B,115
E01001600,Greenwich 032C,85
E01001601,Greenwich 032D,57
E01001602,Greenwich 031C,164
E01001603,Greenwich 031D,130
E01001604,Greenwich 027A,96
E01001605,Greenwich 023A,58
E01001606,Greenwich 023B,44
E01001607,Greenwich 027B,95
E01001608,Greenwich 027C,89
E01001609,Greenwich 027D,360
E01001610,Greenwich 023C,66
E01001611,Greenwich 023D,58
E01001613,Greenwich 028A,147
E01001614,Greenwich 028B,146
E01001615,Greenwich 028C,384
E01001617,Greenwich 028D,196
E01001618,Greenwich 030C,114
E01001619,Greenwich 030D,103
E01001620,Greenwich 025A,125
E01001621,Greenwich 025B,100
E01001623,Greenwich 025C,88
E01001624,Greenwich 025D,82
E01001625,Greenwich 025E,160
E01001629,Greenwich 009A,145
E01001631,Greenwich 007B,238
E01001632,Greenwich 007C,94
E01001633,Greenwich 009B,105
E01001634,Greenwich 009C,94
E01001635,Greenwich 007D,69
E01001636,Greenwich 007E,99
E01001637,Greenwich 009D,127
E01001638,Greenwich 038A,107
E01001640,Greenwich 035A,514
E01001641,Greenwich 038B,503
E01001642,Greenwich 038C,198
E01001644,Greenwich 038D,237
E01001645,Greenwich 022A,125
E01001646,Greenwich 019A,208
E01001647,Greenwich 022B,101
E01001648,Greenwich 022C,120
E01001649,Greenwich 022D,101
E01001650,Greenwich 019B,112
E01001651,Greenwich 019C,169
E01001652,Greenwich 019D,168
E01001653,Greenwich 029A,85
E01001654,Greenwich 029B,81
E01001655,Greenwich 029C,153
E01001656,Greenwich 034A,52
E01001657,Greenwich 034B,109
E01001658,Greenwich 034C,135
E01001659,Greenwich 034D,132
E01001660,Greenwich 029D,94
E01001661,Greenwich 029E,177
E01001662,Greenwich 037A,261
E01001664,Greenwich 037B,226
E01001665,Greenwich 037C,154
E01001666,Greenwich 036A,457
E01001667,Greenwich 036B,959
E01001668,Greenwich 036C,286
E01001669,Greenwich 033A,144
E01001671,Greenwich 033B,101
E01001672,Greenwich 006A,121
E01001673,Greenwich 006B,241
E01001674,Greenwich 006C,160
E01001675,Greenwich 006D,221
E01001676,Greenwich 033C,155
E01001677,Greenwich 006E,237
E01001678,Greenwich 017A,75
E01001679,Greenwich 020A,74
E01001680,Greenwich 020B,82
E01001681,Greenwich 020C,53
E01001682,Greenwich 020D,136
E01001683,Greenwich 017B,118
E01001684,Greenwich 017C,77
E01001685,Greenwich 017D,65
E01001686,Greenwich 020E,100
E01001687,Greenwich 002A,255
E01001688,Greenwich 002B,196
E01001690,Greenwich 001A,110
E01001692,Greenwich 001B,84
E01001693,Greenwich 001C,128
E01001694,Greenwich 001D,104
E01001695,Greenwich 011A,98
E01001696,Greenwich 011B,452
E01001697,Greenwich 011C,120
E01001698,Greenwich 015A,128
E01001699,Greenwich 015B,127
E01001700,Greenwich 011D,243
E01001701,Greenwich 015C,394
E01001702,Greenwich 015D,117
E01001703,Greenwich 011E,120
E01001704,Greenwich 011F,156
E01001705,Greenwich 005A,255
E01001706,Greenwich 005B,78
E01001708,Greenwich 005C,86
E01001709,Greenwich 004B,299
E01001710,Greenwich 005D,104
E01001711,Greenwich 004C,134
E01001712,Greenwich 004D,284
E01001713,Greenwich 005E,121
E01001714,Hackney 002A,152
E01001715,Hackney 007A,73
E01001716,Hackney 007B,139
E01001717,Hackney 007C,62
E01001718,Hackney 007D,270
E01001719,Hackney 007E,77
E01001720,Hackney 007F,122
E01001722,Hackney 029A,216
E01001723,Hackney 006A,107
E01001724,Hackney 006B,192
E01001725,Hackney 004A,80
E01001726,Hackney 004B,90
E01001727,Hackney 006C,78
E01001728,Hackney 029B,94
E01001729,Hackney 019A,183
E01001730,Hackney 019B,190
E01001731,Hackney 017A,509
E01001732,Hackney 019C,202
E01001733,Hackney 015A,216
E01001734,Hackney 017B,400
E01001735,Hackney 019D,485
E01001736,Hackney 012A,126
E01001737,Hackney 012B,118
E01001738,Hackney 012C,137
E01001739,Hackney 012D,132
E01001740,Hackney 014A,140
E01001741,Hackney 009A,96
E01001742,Hackney 008A,141
E01001744,Hackney 021B,136
E01001745,Hackney 016A,239
E01001746,Hackney 016B,94
E01001747,Hackney 014B,311
E01001748,Hackney 020A,580
E01001749,Hackney 020B,125
E01001750,Hackney 021C,249
E01001751,Hackney 021D,141
E01001752,Hackney 025A,208
E01001753,Hackney 025B,136
E01001754,Hackney 025C,409
E01001755,Hackney 025D,244
E01001756,Hackney 021E,247
E01001757,Hackney 016C,100
E01001758,Hackney 016D,251
E01001759,Hackney 016E,146
E01001760,Hackney 017C,742
E01001761,Hackney 016F,182
E01001762,Hackney 017D,392
E01001763,Hackney 020C,150
E01001764,Hackney 010A,115
E01001765,Hackney 010B,120
E01001767,Hackney 010D,157
E01001768,Hackney 006D,124
E01001769,Hackney 006E,102
E01001770,Hackney 010E,203
E01001772,Hackney 024A,155
E01001773,Hackney 025E,391
E01001774,Hackney 024B,287
E01001775,Hackney 024C,149
E01001776,Hackney 025F,157
E01001777,Hackney 027B,383
E01001779,Hackney 026A,424
E01001780,Hackney 027D,471
E01001781,Hackney 026B,144
E01001782,Hackney 026C,145
E01001783,Hackney 026D,100
E01001784,Hackney 027E,142
E01001785,Hackney 015B,109
E01001786,Hackney 013A,198
E01001787,Hackney 013B,177
E01001788,Hackney 013C,142
E01001789,Hackney 015C,78
E01001790,Hackney 013D,98
E01001791,Hackney 015D,112
E01001792,Hackney 011A,234
E01001793,Hackney 011B,108
E01001794,Hackney 011C,179
E01001795,Hackney 011D,165
E01001796,Hackney 011E,157
E01001798,Hackney 028A,222
E01001799,Hackney 003A,84
E01001800,Hackney 004C,166
E01001801,Hackney 008B,65
E01001802,Hackney 003B,68
E01001803,Hackney 008C,90
E01001804,Hackney 003C,57
E01001805,Hackney 009B,99
E01001806,Hackney 008D,180
E01001807,Hackney 003D,119
E01001808,Hackney 001A,212
E01001809,Hackney 001B,108
E01001811,Hackney 002D,95
E01001812,Hackney 003E,109
E01001813,Hackney 002E,195
E01001814,Hackney 001C,147
E01001815,Hackney 024D,121
E01001816,Hackney 020D,168
E01001819,Hackney 020E,135
E01001820,Hackney 024E,116
E01001821,Hackney 024F,116
E01001822,Hackney 029C,192
E01001823,Hackney 001D,113
E01001824,Hackney 004D,95
E01001825,Hackney 001E,52
E01001826,Hackney 004E,79
E01001827,Hackney 029D,153
E01001828,Hackney 028B,164
E01001829,Hackney 009C,128
E01001830,Hackney 014C,276
E01001831,Hackney 009D,327
E01001832,Hackney 009E,147
E01001833,Hackney 014D,189
E01001834,Hackney 014E,100
E01001835,Hackney 014F,75
E01001836,Hackney 022A,214
E01001837,Hackney 023B,179
E01001838,Hackney 019E,164
E01001839,Hackney 023C,420
E01001840,Hackney 022B,158
E01001841,Hackney 022C,154
E01001842,Hackney 023D,141
E01001843,Hackney 023E,87
E01001844,Hackney 022D,239
E01001845,Hackney 022E,188
E01001846,Hackney 018A,151
E01001847,Hackney 018B,153
E01001848,Hackney 018C,354
E01001849,Hackney 018D,317
E01001850,Hackney 019F,130
E01001851,Hammersmith and Fulham 010A,120
E01001852,Hammersmith and Fulham 007A,162
E01001853,Hammersmith and Fulham 007B,100
E01001854,Hammersmith and Fulham 007C,141
E01001855,Hammersmith and Fulham 010B,110
E01001856,Hammersmith and Fulham 010C,275
E01001857,Hammersmith and Fulham 007D,534
E01001858,Hammersmith and Fulham 006A,180
E01001859,Hammersmith and Fulham 008A,90
E01001860,Hammersmith and Fulham 006B,222
E01001861,Hammersmith and Fulham 006C,125
E01001862,Hammersmith and Fulham 005A,131
E01001863,Hammersmith and Fulham 006D,106
E01001864,Hammersmith and Fulham 006E,103
E01001865,Hammersmith and Fulham 008B,69
E01001866,Hammersmith and Fulham 012A,237
E01001867,Hammersmith and Fulham 012B,74
E01001868,Hammersmith and Fulham 012C,87
E01001869,Hammersmith and Fulham 010D,153
E01001870,Hammersmith and Fulham 012D,110
