LSOA11CD,LSOA11NM,crime_sum
E01000158,Barnet 015A,122
E01000159,Barnet 015B,98
E01000160,Barnet 015C,258
E01000161,Barnet 015D,174
E01000162,Barnet 015E,161
E01000163,Barnet 022C,91
E01000164,Barnet 022D,318
E01000165,Barnet 022E,107
E01000166,Barnet 003A,74
E01000167,Barnet 002A,86
E01000168,Barnet 003B,80
E01000169,Barnet 003C,76
E01000170,Barnet 006A,111
E01000171,Barnet 006B,239
E01000172,Barnet 003D,68
E01000173,Barnet 006C,85
E01000174,Barnet 006D,146
E01000175,Barnet 006E,63
E01000176,Barnet 027A,67
E01000177,Barnet 029A,56
E01000178,Barnet 027B,88
E01000179,Barnet 029B,69
E01000180,Barnet 029C,100
E01000181,Barnet 029D,144
E01000182,Barnet 029E,158
E01000183,Barnet 033A,60
E01000184,Barnet 027C,98
E01000185,Barnet 029F,76
E01000186,Barnet 014A,53
E01000187,Barnet 014B,64
E01000188,Barnet 014C,147
E01000189,Barnet 014D,80
E01000190,Barnet 014E,66
E01000191,Barnet 014F,51
E01000192,Barnet 018A,280
E01000193,Barnet 018B,443
E01000194,Barnet 018C,220
E01000195,Barnet 013A,210
E01000196,Barnet 028A,214
E01000197,Barnet 023A,121
E01000198,Barnet 025A,74
E01000199,Barnet 025B,68
E01000200,Barnet 028B,94
E01000201,Barnet 028C,80
E01000202,Barnet 028D,60
E01000203,Barnet 028E,92
E01000204,Barnet 025C,109
E01000205,Barnet 035A,105
E01000206,Barnet 033B,125
E01000207,Barnet 033C,86
E01000208,Barnet 033D,89
E01000209,Barnet 035B,91
E01000210,Barnet 033E,85
E01000211,Barnet 035C,265
E01000212,Barnet 035D,71
E01000213,Barnet 033F,42
E01000214,Barnet 038E,89
E01000215,Barnet 037B,76
E01000216,Barnet 035E,57
E01000217,Barnet 035F,49
E01000218,Barnet 037C,94
E01000219,Barnet 037D,103
E01000220,Barnet 037E,100
E01000221,Barnet 039B,348
E01000222,Barnet 040C,112
E01000223,Barnet 039C,257
E01000224,Barnet 040D,75
E01000225,Barnet 037F,88
E01000226,Barnet 018D,76
E01000227,Barnet 018E,91
E01000228,Barnet 007A,54
E01000229,Barnet 013B,64
E01000230,Barnet 013C,77
E01000231,Barnet 013D,216
E01000232,Barnet 013E,118
E01000233,Barnet 013F,118
E01000234,Barnet 021D,75
E01000235,Barnet 021E,151
E01000236,Barnet 034A,82
E01000237,Barnet 032A,239
E01000238,Barnet 034B,88
E01000239,Barnet 031A,157
E01000240,Barnet 031B,122
E01000241,Barnet 031C,80
E01000242,Barnet 032B,95
E01000243,Barnet 032C,187
E01000244,Barnet 032D,114
E01000245,Barnet 032E,223
E01000246,Barnet 002B,54
E01000247,Barnet 002C,59
E01000248,Barnet 001A,169
E01000249,Barnet 001B,48
E01000250,Barnet 001C,325
E01000251,Barnet 002D,130
E01000252,Barnet 002E,153
E01000253,Barnet 007B,83
E01000254,Barnet 001D,61
E01000255,Barnet 017A,83
