Codes,Names,lntheft,oldpeoplerate,Working-agerate, Couplehouseholdwithdependentchildren,Couplehouseholdwithoutdependentchildren,Onepersonhousehold,multpersonhousehold,Goodhealth,Fairhealth,Badhealth,Nocars,car1,car2
E01000760,Bromley 034B,2.48 ,20.03 ,61.68 ,26.00 ,35.10 ,25.50 ,4.50 ,83.60 ,12.60 ,3.90 ,18.20 ,37.80 ,33.30 
E01000761,Bromley 034C,1.10 ,15.01 ,63.34 ,29.10 ,40.40 ,19.10 ,4.20 ,87.60 ,10.10 ,2.30 ,8.30 ,40.40 ,39.00 
E01000762,Bromley 018D,1.79 ,23.48 ,60.63 ,18.00 ,31.10 ,36.50 ,6.90 ,83.80 ,12.30 ,3.90 ,16.60 ,53.70 ,23.80 
E01000763,Bromley 027A,2.08 ,15.84 ,63.15 ,30.20 ,38.00 ,18.20 ,5.70 ,87.60 ,9.80 ,2.50 ,8.80 ,42.40 ,34.20 
E01000764,Bromley 027B,2.08 ,18.33 ,60.87 ,25.80 ,28.30 ,26.70 ,5.40 ,83.50 ,12.40 ,4.10 ,16.10 ,49.80 ,25.60 
E01000765,Bromley 034D,3.09 ,16.55 ,63.26 ,24.30 ,33.00 ,27.70 ,5.70 ,86.60 ,10.30 ,3.10 ,15.20 ,45.20 ,30.80 
E01000767,Bromley 027D,1.61 ,15.86 ,61.54 ,31.80 ,38.00 ,18.10 ,4.80 ,88.10 ,9.40 ,2.60 ,13.20 ,39.10 ,35.50 
E01000769,Bromley 024A,2.89 ,11.93 ,69.02 ,26.00 ,34.10 ,18.90 ,7.30 ,83.40 ,12.10 ,4.40 ,15.90 ,43.40 ,27.10 
E01000770,Bromley 012D,2.56 ,29.46 ,56.68 ,15.90 ,35.90 ,39.80 ,5.20 ,85.70 ,11.00 ,3.30 ,22.40 ,48.20 ,22.90 
E01000771,Bromley 041C,3.09 ,15.72 ,64.10 ,29.70 ,37.30 ,20.30 ,4.70 ,88.30 ,9.40 ,2.30 ,14.20 ,50.00 ,30.20 
E01000772,Bromley 012E,1.10 ,28.96 ,55.41 ,17.70 ,33.70 ,39.90 ,3.80 ,82.60 ,13.30 ,4.20 ,21.30 ,49.00 ,22.90 
E01000773,Bromley 024B,2.08 ,21.17 ,57.79 ,25.30 ,34.20 ,26.90 ,3.30 ,84.60 ,11.50 ,3.90 ,19.50 ,46.40 ,25.60 
E01000774,Bromley 041D,3.14 ,14.19 ,64.83 ,27.40 ,33.20 ,24.30 ,4.10 ,86.80 ,9.90 ,3.30 ,16.00 ,51.30 ,24.30 
E01000775,Bromley 024C,3.58 ,14.56 ,61.87 ,31.80 ,29.00 ,23.90 ,5.70 ,87.70 ,9.70 ,2.60 ,13.00 ,42.80 ,32.80 
E01000777,Bromley 024D,1.79 ,14.55 ,63.24 ,31.50 ,34.00 ,17.90 ,5.30 ,87.40 ,9.20 ,3.40 ,12.70 ,49.20 ,27.80 
E01000778,Bromley 024E,2.83 ,13.48 ,64.24 ,27.00 ,27.70 ,27.50 ,6.50 ,86.80 ,10.40 ,2.80 ,21.20 ,44.20 ,26.90 
E01000779,Bromley 001A,4.99 ,21.09 ,65.53 ,16.90 ,32.50 ,34.30 ,8.50 ,78.40 ,16.40 ,5.20 ,20.00 ,47.00 ,26.10 
E01000780,Bromley 001B,2.40 ,15.00 ,63.99 ,15.60 ,27.90 ,29.90 ,7.80 ,80.00 ,14.70 ,5.30 ,34.60 ,41.90 ,19.40 
E01000781,Bromley 001C,2.40 ,11.63 ,62.56 ,18.20 ,20.20 ,30.90 ,6.20 ,79.10 ,14.50 ,6.40 ,40.20 ,42.80 ,13.40 
E01000782,Bromley 001D,2.64 ,13.05 ,62.87 ,14.10 ,17.80 ,40.50 ,6.60 ,77.70 ,15.20 ,7.10 ,45.10 ,41.70 ,10.80 
E01000783,Bromley 001E,1.61 ,12.71 ,61.14 ,18.70 ,20.10 ,30.00 ,7.30 ,79.80 ,13.30 ,6.90 ,31.90 ,50.80 ,15.50 
E01000784,Bromley 002E,1.10 ,11.30 ,65.96 ,29.00 ,33.30 ,22.30 ,4.80 ,87.80 ,9.10 ,3.10 ,12.00 ,55.80 ,25.10 
E01000785,Bromley 001F,2.64 ,14.55 ,63.22 ,17.60 ,23.20 ,35.50 ,5.60 ,76.20 ,16.90 ,6.90 ,31.20 ,47.10 ,18.10 
E01000786,Bromley 032A,4.48 ,32.37 ,55.10 ,13.70 ,48.60 ,25.50 ,4.90 ,80.70 ,15.10 ,4.20 ,11.60 ,44.70 ,31.30 
E01000787,Bromley 029C,1.79 ,25.98 ,58.72 ,14.50 ,30.40 ,39.70 ,4.20 ,78.60 ,15.60 ,5.80 ,28.00 ,48.90 ,19.30 
E01000788,Bromley 029D,2.48 ,17.30 ,64.09 ,19.30 ,34.80 ,27.00 ,7.10 ,81.80 ,13.30 ,4.80 ,21.40 ,47.40 ,25.60 
E01000789,Bromley 032B,1.95 ,6.28 ,58.94 ,20.50 ,15.40 ,25.60 ,8.70 ,82.90 ,12.30 ,4.80 ,46.70 ,40.50 ,9.60 
E01000790,Bromley 028C,5.24 ,14.62 ,67.00 ,19.60 ,26.90 ,34.10 ,9.40 ,85.60 ,10.40 ,4.00 ,28.90 ,46.00 ,20.30 
E01000791,Bromley 029E,1.10 ,27.89 ,56.06 ,18.50 ,38.60 ,28.80 ,5.30 ,81.00 ,14.00 ,4.90 ,20.90 ,43.20 ,28.20 
E01000792,Bromley 032C,0.69 ,25.04 ,56.04 ,16.10 ,36.20 ,27.70 ,5.40 ,80.60 ,14.50 ,4.90 ,18.00 ,50.30 ,26.10 
E01000794,Bromley 035E,2.48 ,24.86 ,59.05 ,22.60 ,46.80 ,19.60 ,5.40 ,82.50 ,13.80 ,3.70 ,10.00 ,43.70 ,33.90 
E01000795,Bromley 032E,1.61 ,17.07 ,60.69 ,27.10 ,34.70 ,22.70 ,5.00 ,84.40 ,10.80 ,4.80 ,18.80 ,44.10 ,28.00 
E01000796,Bromley 009C,2.48 ,7.18 ,66.07 ,16.50 ,14.70 ,28.80 ,10.80 ,80.60 ,13.70 ,5.70 ,54.20 ,35.30 ,8.60 
E01000797,Bromley 013E,4.70 ,10.88 ,70.61 ,21.50 ,30.50 ,33.70 ,6.90 ,87.40 ,8.30 ,4.40 ,24.40 ,50.70 ,20.30 
E01000798,Bromley 009D,2.64 ,8.27 ,70.49 ,10.70 ,12.60 ,45.30 ,8.80 ,77.70 ,15.20 ,7.00 ,55.70 ,38.70 ,4.20 
E01000799,Bromley 004A,4.77 ,8.77 ,71.62 ,17.80 ,23.50 ,35.30 ,9.70 ,86.00 ,10.20 ,3.80 ,40.20 ,44.40 ,12.70 
E01000800,Bromley 009E,2.94 ,5.50 ,72.93 ,14.00 ,15.00 ,45.60 ,9.50 ,82.70 ,11.90 ,5.40 ,46.20 ,44.70 ,7.60 
E01000801,Bromley 015E,2.77 ,12.99 ,67.68 ,15.50 ,22.20 ,40.50 ,6.50 ,80.20 ,13.40 ,6.40 ,35.40 ,49.20 ,12.20 
E01000802,Bromley 004B,2.94 ,8.85 ,71.37 ,19.30 ,22.10 ,36.90 ,11.70 ,83.20 ,12.40 ,4.40 ,41.10 ,46.10 ,10.30 
E01000803,Bromley 004C,2.08 ,11.78 ,68.67 ,15.60 ,24.90 ,37.40 ,9.30 ,85.50 ,10.30 ,4.20 ,45.90 ,40.40 ,12.10 
E01000804,Bromley 004D,2.08 ,16.30 ,64.69 ,24.60 ,36.50 ,23.40 ,8.20 ,85.50 ,11.10 ,3.30 ,15.30 ,45.60 ,29.70 
E01000805,Bromley 004E,2.77 ,12.51 ,68.96 ,14.40 ,24.50 ,39.10 ,6.40 ,82.10 ,13.70 ,4.20 ,39.30 ,48.70 ,10.60 
E01000806,Bromley 009F,3.64 ,5.11 ,70.71 ,14.80 ,15.10 ,39.20 ,11.10 ,84.70 ,11.20 ,4.10 ,56.20 ,35.40 ,7.30 
E01000807,Bromley 022C,3.58 ,17.49 ,61.55 ,27.10 ,37.00 ,19.30 ,6.60 ,88.00 ,9.70 ,2.30 ,15.10 ,48.40 ,27.20 
E01000808,Bromley 025A,1.10 ,21.57 ,57.48 ,27.80 ,40.50 ,20.20 ,4.30 ,85.50 ,11.00 ,3.50 ,12.50 ,47.50 ,30.10 
E01000812,Bromley 028D,2.56 ,21.64 ,63.79 ,16.90 ,35.10 ,31.80 ,6.90 ,83.20 ,12.40 ,4.30 ,21.70 ,43.00 ,26.80 
E01000813,Bromley 025D,4.14 ,23.42 ,58.14 ,23.90 ,41.80 ,22.30 ,5.70 ,83.40 ,12.60 ,4.00 ,15.90 ,48.00 ,27.00 
E01000814,Bromley 028E,1.79 ,20.25 ,64.01 ,26.80 ,48.20 ,15.10 ,5.70 ,89.20 ,8.70 ,2.20 ,7.80 ,41.10 ,35.80 
E01000815,Bromley 025E,1.10 ,20.43 ,59.73 ,29.50 ,46.60 ,14.10 ,4.60 ,89.50 ,7.80 ,2.70 ,6.00 ,40.60 ,41.10 
E01000816,Bromley 040A,2.08 ,14.65 ,66.37 ,21.60 ,36.10 ,23.60 ,5.90 ,83.90 ,12.30 ,3.80 ,15.90 ,53.50 ,23.50 
