lsoa,names,unemployment_rate,couple_household_without_dependent_children,lone_parent_household,ethnic_white,ethnic_black,ethnic_bame,tenure_owned_with_a_mortgage_or_loan,no_qualifications,good_health,bad_health
E01003993,Southwark 017D,1108,1104,2307,3108,4903,6802,11,21,8309,501
E01003997,Southwark 017E,903,1503,1702,5302,2702,4608,2209,1604,8308,4
E01003983,Southwark 018A,1504,1104,2509,2708,5403,7202,508,2406,8108,502
E01003988,Southwark 018B,12,1305,1509,3507,4403,6403,1201,2208,8101,601
E01003989,Southwark 018C,1401,802,2501,2902,5208,7008,1004,2101,8607,306
E01003990,Southwark 018D,1208,1107,2209,3002,5007,6908,1001,1909,8102,602
E01004007,Southwark 018E,1104,1102,2809,2307,5704,7603,11,2107,8104,603
E01003912,Southwark 019A,1307,1009,2707,2205,59,7705,404,2302,81,605
E01004011,Southwark 019B,1209,1009,2809,19,6103,81,1301,17,8505,402
E01004012,Southwark 019C,1007,15,1905,3301,4702,6609,1904,1703,8609,402
E01004013,Southwark 019D,1108,1304,2504,2601,5005,7309,1507,2104,8201,509
E01004014,Southwark 019E,1306,1103,2101,2705,5604,7205,1201,2008,8207,504
E01003911,Southwark 020A,1003,15,1904,3701,4104,6209,15,1502,8508,405
E01003916,Southwark 020B,908,1801,1307,4709,3108,5201,2306,1107,8704,304
E01003917,Southwark 020C,805,1406,1102,5109,3009,4801,2404,1904,8203,509
E01003918,Southwark 020D,1205,1105,2004,34,4709,66,804,2201,8105,606
E01003925,Southwark 020E,12,1402,2104,4108,4009,5802,809,2406,7906,7
E01003919,Southwark 021A,702,1804,12,4905,2907,5005,1401,1303,8501,406
E01003920,Southwark 021B,1106,1106,2004,3102,5102,6808,904,1909,8209,509
E01003921,Southwark 021C,1205,12,1407,4107,3709,5803,405,2401,8108,606
E01003922,Southwark 021D,908,1205,2103,3901,4402,6009,1308,1609,8308,405
E01003924,Southwark 021E,1105,1102,19,2608,5202,7302,506,1902,8308,602
E01003926,Southwark 021F,10,1007,2002,3507,46,6403,1109,2206,8202,507
E01004008,Southwark 022B,15,1105,2505,2701,5201,7209,1106,2107,8102,604
E01004010,Southwark 022D,1102,1201,1905,3107,4407,6803,1706,1709,8309,405
E01004067,Southwark 022E,1107,1505,1604,30,4801,70,1208,1905,84,407
E01032805,Southwark 022F,1109,1304,2001,3809,4007,6101,1503,2106,8104,505
E01003984,Southwark 023A,1004,1608,1007,4303,3709,5607,2006,1606,8201,6
E01004003,Southwark 023B,1404,1302,1902,3502,4608,6408,1408,2304,7807,805
E01004004,Southwark 023C,901,1801,1407,4607,3609,5303,2101,1703,8203,604
E01004005,Southwark 023D,1401,1308,1803,3206,4901,6704,12,2504,7708,8
E01004006,Southwark 023E,1301,1801,1607,4801,3607,5109,2506,2005,7907,609
E01003913,Southwark 024A,507,2003,904,6503,1805,3407,2005,10,8606,308
E01003914,Southwark 024B,808,2202,1002,6102,2301,3808,2908,13,8301,405
E01003915,Southwark 024C,1101,1503,1603,39,4402,61,2103,1609,8208,504
E01004050,Southwark 024D,5,29,607,7406,12,2504,3501,607,9002,208
E01004052,Southwark 024E,404,2504,7,6809,1506,3101,2906,1006,8608,501
E01004061,Southwark 025A,6,2108,709,6307,2003,3603,3001,1009,8508,404
E01004062,Southwark 025B,802,1701,1403,4805,3102,5105,1808,1905,81,607
E01004063,Southwark 025C,602,2003,1208,6004,2605,3906,2702,1303,8205,506
E01004065,Southwark 025D,605,2503,1001,6609,21,3301,3502,1107,8703,403
E01004066,Southwark 025E,804,1702,1701,4703,3406,5207,2003,1506,8504,407
E01004000,Southwark 026A,803,1702,1403,4404,3802,5506,2404,1903,8004,608
E01004001,Southwark 026B,1001,16,1905,4206,42,5704,1401,2703,7609,708
E01004019,Southwark 026C,705,1901,1806,47,3702,53,2507,1503,8504,402
E01004064,Southwark 026D,906,1503,1708,4505,3703,5405,1708,2008,81,601
E01004068,Southwark 026E,1102,13,1805,40,4401,60,1705,2705,7802,707
E01004045,Southwark 027A,1402,803,29,28,5405,72,1005,1706,8609,305
E01004047,Southwark 027B,1105,1402,2401,3509,3906,6401,1508,2307,8204,508
E01004048,Southwark 027C,504,1902,1505,6008,2106,3902,31,1209,8608,309
E01004049,Southwark 027D,708,1206,27,41,34,59,1402,1102,8908,209
E01004051,Southwark 027E,301,29,707,75,1101,25,3903,801,8809,208
E01003953,Southwark 028A,506,2408,709,6902,15,3008,2702,11,8505,406
E01003955,Southwark 028B,506,2405,709,6804,1602,3106,3306,1408,8403,504
E01004015,Southwark 028C,401,2303,904,7201,1507,2709,33,1207,8601,407
E01004021,Southwark 028D,5,2608,705,7505,1307,2405,2606,803,8808,209
E01004046,Southwark 028E,502,2507,1002,6409,1905,3501,2907,1003,86,309
E01004002,Southwark 029A,804,2409,1204,6501,2008,3409,3907,1502,8303,407
E01004016,Southwark 029B,8,2302,1503,6407,2209,3503,3807,1706,8506,407
E01004017,Southwark 029C,502,2903,1103,7508,1308,2402,3409,1408,8504,406
E01004020,Southwark 029D,1209,1308,2109,4005,4405,5905,1809,1804,8207,509
E01003952,Southwark 030A,504,2802,808,7308,14,2602,3601,1005,8709,307
E01003954,Southwark 030B,409,3103,7,7103,1506,2807,3904,1209,8602,309
E01003956,Southwark 030C,409,2902,9,7302,16,2608,4107,809,8608,403
E01004071,Southwark 030D,608,2008,1205,7006,1608,2904,3104,17,8307,602
E01004072,Southwark 030E,208,2903,7,81,605,19,3902,805,89,208
E01004069,Southwark 031A,205,3406,506,8002,207,1908,3706,503,9201,104
E01004070,Southwark 031B,406,2503,1001,7805,904,2105,3405,1209,8806,304
E01004073,Southwark 031C,403,2604,802,8103,803,1807,36,902,8902,3
E01004074,Southwark 031D,302,2507,6,8001,508,1909,3605,604,9103,206
E01004075,Southwark 031E,206,2904,509,8602,205,1308,3406,504,9204,106
E01003949,Southwark 032A,404,2409,805,7208,1206,2702,3506,1101,8606,307
E01003950,Southwark 032B,1202,1703,2102,5108,3307,4802,1807,1907,8101,507
E01003957,Southwark 032C,407,2706,1108,7405,1209,2505,3904,1208,8601,406
E01003958,Southwark 032D,5,2502,1003,7301,1501,2609,3506,1502,8607,303
E01004018,Southwark 032E,402,2709,905,7704,1106,2206,4404,1007,8901,304
E01003945,Southwark 033A,307,30,1001,6903,1405,3007,3502,906,8506,402
E01003946,Southwark 033B,609,2805,1204,6306,1901,3604,2701,909,8605,401
E01003947,Southwark 033C,1401,1209,3002,4206,4009,5704,1409,2304,82,507
E01003948,Southwark 033D,503,2507,904,7102,1503,2808,3408,1103,8508,306
E01003951,Southwark 033E,409,2608,1109,7109,806,2801,3003,1105,8603,307
E01003930,Southwark 034A,1009,1801,902,6002,15,3908,1207,1203,85,409
E01003932,Southwark 034B,1305,1603,1302,4604,3003,5306,1204,1606,8109,702
E01003933,Southwark 034C,703,2104,13,5701,1408,4209,19,1301,8601,407
E01032583,Southwark 034D,606,1803,1002,6604,1304,3306,1207,1307,8501,503
E01032584,Southwark 034E,706,1908,1608,5309,2308,4601,1904,15,8409,502
E01004222,Tower Hamlets 001A,1306,1502,15,5403,13,4507,1107,3404,7506,9
E01004223,Tower Hamlets 001B,1003,1705,1804,5906,1304,4004,903,29,7609,906
E01004224,Tower Hamlets 001C,1102,19,1209,5503,908,4407,1204,2501,8103,607
E01004226,Tower Hamlets 001D,1009,1805,1702,51,1104,49,1309,2308,8205,509
E01004197,Tower Hamlets 002A,1001,1603,1001,5005,801,4905,1206,18,8303,508
E01004198,Tower Hamlets 002B,1306,1409,1006,44,707,56,807,3003,7601,10
E01004199,Tower Hamlets 002C,1307,1003,1706,3302,707,6608,802,3204,7607,902
E01004201,Tower Hamlets 002D,1002,1204,1106,5809,707,4101,1404,2108,8204,602
E01004228,Tower Hamlets 003A,705,2402,902,7607,404,2303,22,1906,8209,606
E01004230,Tower Hamlets 003B,10,1909,1402,5708,905,4202,1509,2308,8107,603
E01004232,Tower Hamlets 003C,6,2009,605,6902,307,3008,2207,1008,8801,401
E01004233,Tower Hamlets 003D,1201,1401,1109,4804,909,5106,1304,3104,79,704
E01004234,Tower Hamlets 003E,407,2507,1007,7405,608,2505,2507,1304,8608,306
E01004225,Tower Hamlets 004A,305,3002,405,7505,403,2405,2903,509,9201,106
E01004229,Tower Hamlets 004C,909,20,1209,4605,705,5305,1901,2002,8201,509
E01004231,Tower Hamlets 004D,1105,1108,2108,3603,804,6307,1104,2503,8202,701
E01032764,Tower Hamlets 004E,602,2206,903,6407,703,3503,1203,1305,8601,402
E01032765,Tower Hamlets 004F,708,1708,1404,5802,907,4108,1109,2009,8309,604
E01032784,Tower Hamlets 004G,5,2404,1001,6301,507,3609,2105,1506,8605,503
E01004200,Tower Hamlets 005A,502,2009,5,6208,308,3702,1507,1007,8802,402
E01004202,Tower Hamlets 005B,701,2502,804,5108,508,4802,1905,1408,8606,502
E01004203,Tower Hamlets 005C,606,18,1003,5801,307,4109,1704,19,8302,507
E01004204,Tower Hamlets 005D,1307,1309,1003,4409,809,5501,1401,35,7403,903
E01004311,Tower Hamlets 006A,1105,1409,1102,5201,706,4709,1401,2503,7701,805
E01004314,Tower Hamlets 006B,404,26,707,7703,109,2207,2802,1604,8606,402
E01004315,Tower Hamlets 006C,804,1905,707,5701,603,4209,1804,2009,7608,903
E01004318,Tower Hamlets 006D,1302,1207,1502,4309,1403,5601,905,2309,8308,609
E01004259,Tower Hamlets 007A,608,1709,809,6009,409,3901,2106,1408,8504,501
E01004260,Tower Hamlets 007B,1103,14,1304,4204,702,5706,1501,2507,8007,702
E01004263,Tower Hamlets 007C,1106,1505,1604,4905,609,5005,1004,3301,7702,8
E01004266,Tower Hamlets 007D,1001,18,1306,6309,5,3601,1703,2304,8009,602
E01004235,Tower Hamlets 008A,1402,1209,16,2204,13,7706,906,2706,8008,702
E01004236,Tower Hamlets 008B,1603,1205,1601,2101,1103,7809,1109,2803,7804,803
E01004237,Tower Hamlets 008C,1103,1804,1206,4102,1108,5808,1107,1804,8207,406
E01004238,Tower Hamlets 008D,1106,1406,13,27,1104,73,1007,20,8207,6
E01004239,Tower Hamlets 008E,1409,1601,1703,3201,1307,6709,1303,3103,7703,706
E01004312,Tower Hamlets 009A,1203,1106,1203,3702,901,6208,909,2906,7703,902
E01004313,Tower Hamlets 009B,805,1304,1405,4603,705,5307,1404,2208,8306,508
E01004316,Tower Hamlets 009C,1101,1302,1306,4702,408,5208,1502,1901,8205,608
E01004317,Tower Hamlets 009D,707,1901,506,5807,401,4103,1606,1202,8702,404
E01004261,Tower Hamlets 010A,806,903,908,4008,604,5902,809,1202,8806,403
E01004262,Tower Hamlets 010B,1002,1307,807,4501,502,5409,1205,1603,8404,505
E01004264,Tower Hamlets 010C,1509,1001,1608,1901,7,8009,1205,2707,8004,801
E01032785,Tower Hamlets 010E,7,2407,708,5908,1006,4002,2601,905,9004,207
E01032786,Tower Hamlets 010F,1003,1404,1107,5005,606,4905,16,2009,8201,608
E01004207,Tower Hamlets 011A,902,1406,1302,4006,7,5904,1204,2402,8006,802
E01004209,Tower Hamlets 011B,15,804,1505,2602,708,7308,709,2908,7908,703
E01004212,Tower Hamlets 011D,804,1605,709,44,702,56,1208,1705,8305,606
E01032787,Tower Hamlets 011F,1207,1205,1109,2608,708,7302,1304,2505,8101,608
E01004240,Tower Hamlets 012A,1208,11,19,3301,1002,6609,1205,3002,7904,705
E01004241,Tower Hamlets 012B,1702,809,1707,3101,12,6809,704,31,7801,706
E01004242,Tower Hamlets 012C,13,1208,1303,3106,1206,6804,11,2106,8306,601
E01004267,Tower Hamlets 012D,908,1802,10,4803,1104,5107,18,1601,8402,509
E01004268,Tower Hamlets 012E,1607,1304,1304,3008,1109,6902,704,2507,7907,703
E01004205,Tower Hamlets 013A,16,1103,1105,2001,703,7909,708,2605,7804,809
E01004206,Tower Hamlets 013B,1209,1102,1205,2609,804,7301,9,2808,7503,1009
E01004208,Tower Hamlets 013C,707,1905,209,4804,305,5106,2201,1103,8701,4
E01004211,Tower Hamlets 013D,802,2201,308,5905,503,4005,2104,1109,8504,507
E01004269,Tower Hamlets 014A,1205,1103,1103,3905,908,6005,1007,24,8008,604
E01004270,Tower Hamlets 014B,806,1504,809,5307,702,4603,2305,1406,8801,308
E01004271,Tower Hamlets 014C,1603,809,1606,2604,1201,7306,806,2602,8108,6
E01004272,Tower Hamlets 014D,1706,909,1606,1805,906,8105,1005,3005,8005,8
E01004273,Tower Hamlets 014E,1606,1305,1809,1805,1107,8105,908,2908,7804,8
E01004306,Tower Hamlets 015A,708,1808,504,4506,308,5404,1509,1605,8402,601
E01004307,Tower Hamlets 015B,506,2105,304,6707,3,3203,1704,509,9108,204
E01004308,Tower Hamlets 015C,804,1701,603,3708,208,6202,2408,22,8204,706
E01004309,Tower Hamlets 015D,1701,1302,904,3509,7,6401,1209,2105,80,709
E01004310,Tower Hamlets 015E,1401,1802,5,3901,402,6009,1205,2202,7905,804
E01004283,Tower Hamlets 016A,1106,1409,1101,3802,502,6108,1306,2804,7509,901
E01004287,Tower Hamlets 016B,1002,1503,1104,34,601,66,1506,2801,7904,807
E01004289,Tower Hamlets 016C,1005,1403,1103,3904,606,6006,1306,2509,8104,705
E01004290,Tower Hamlets 016D,608,1806,509,5709,409,4201,1505,21,8104,608
E01004322,Tower Hamlets 017A,1001,1409,902,3809,607,6101,1403,2003,81,609
E01004323,Tower Hamlets 017B,806,1404,605,3909,207,6001,1904,2102,8108,704
E01004324,Tower Hamlets 017C,1302,1001,1304,2604,404,7306,2004,2809,8007,609
E01004326,Tower Hamlets 017D,707,1302,705,4107,509,5803,1107,2107,8203,606
E01004245,Tower Hamlets 018A,1802,803,2003,22,1206,78,1004,3005,7902,707
E01004246,Tower Hamlets 018B,1005,2003,1108,4903,706,5007,2406,2109,8405,501
E01004248,Tower Hamlets 018C,1806,1106,22,2901,1306,7009,509,3802,7608,807
E01004249,Tower Hamlets 018D,1604,1303,1803,3401,1407,6509,9,3005,7902,704
E01004284,Tower Hamlets 019A,11,1808,803,3301,803,6609,602,2106,8302,604
E01004285,Tower Hamlets 019B,1609,1102,1208,1907,608,8003,1003,31,80,805
E01004286,Tower Hamlets 019C,1503,1508,1504,3505,6,6405,1302,2708,8003,703
E01004288,Tower Hamlets 019D,1601,12,1707,3001,706,6909,1003,31,7804,806
E01004243,Tower Hamlets 020A,1307,1304,1905,3404,1102,6506,1009,3305,7902,704
E01004244,Tower Hamlets 020B,1803,1105,1706,3804,1303,6106,9,3205,7509,902
E01004247,Tower Hamlets 020C,1603,1304,1608,3809,907,6101,907,2905,7808,701
E01004250,Tower Hamlets 020D,1505,1309,1906,3807,1104,6103,702,3203,7808,809
E01004319,Tower Hamlets 021A,1303,1301,1004,2009,407,7901,1006,2404,7804,802
E01004321,Tower Hamlets 021C,1009,1207,705,2609,503,7301,803,2205,78,901
E01004325,Tower Hamlets 021D,6,1708,501,5104,209,4806,1006,906,8901,307
E01032766,Tower Hamlets 021E,605,21,505,4604,605,5306,1506,901,8708,307
E01032767,Tower Hamlets 021F,307,2209,108,6509,201,3401,1308,305,9404,106
E01004298,Tower Hamlets 022A,1308,1307,1405,2906,803,7004,803,2606,7601,905
E01004300,Tower Hamlets 022B,12,1609,1406,3304,807,6606,908,2902,7509,903
E01004304,Tower Hamlets 022C,1404,1203,1108,2309,602,7601,902,2703,8003,709
E01004305,Tower Hamlets 022D,1206,1502,1702,3501,608,6409,15,2604,7803,706
E01004251,Tower Hamlets 023A,1209,1306,14,3602,7,6308,1703,2803,8004,709
E01004254,Tower Hamlets 023B,409,2903,305,6601,307,3309,2702,502,9301,2
E01004255,Tower Hamlets 023C,1207,1404,1008,3202,905,6708,1407,2402,8004,707
E01004258,Tower Hamlets 023D,503,2706,508,63,504,37,2207,1401,8506,601
E01004252,Tower Hamlets 024A,1105,1607,1206,3808,1002,6102,1209,2007,8406,505
E01004253,Tower Hamlets 024B,1303,1202,2007,4101,1009,5809,1102,27,7708,701
E01004256,Tower Hamlets 024C,1105,1309,1702,3608,602,6302,1502,3007,7809,802
E01004257,Tower Hamlets 024D,1608,1108,21,3302,1006,6608,1107,3006,8107,505
E01004301,Tower Hamlets 025B,1105,1203,805,2503,504,7407,2008,2405,8109,608
E01004302,Tower Hamlets 025C,1205,1108,1204,1801,706,8109,1207,2601,8108,6
E01004303,Tower Hamlets 025D,909,1808,908,4409,1007,5501,15,1709,8304,507
E01032768,Tower Hamlets 025E,306,3007,3,6606,407,3304,2409,307,9304,205
E01032769,Tower Hamlets 025F,608,2808,509,5302,302,4608,2308,8,8901,206
E01004292,Tower Hamlets 026A,204,2406,303,7109,106,2801,2908,501,9202,108
E01004294,Tower Hamlets 026B,701,1908,504,5907,402,4003,2001,1207,87,501
E01004295,Tower Hamlets 026C,1307,1008,13,2101,608,7809,1002,2903,7901,708
E01004296,Tower Hamlets 026D,806,1504,902,45,404,55,1701,21,8101,7
E01004291,Tower Hamlets 027A,401,2703,402,7508,109,2402,2702,904,89,304
E01004293,Tower Hamlets 027B,403,27,206,7602,109,2308,22,809,8907,302
E01004297,Tower Hamlets 027C,301,3006,402,76,208,24,3008,709,8909,305
E01004215,Tower Hamlets 028A,809,21,1304,47,808,53,1505,1803,8509,404
E01004219,Tower Hamlets 028B,1206,1707,1305,2709,1203,7201,1002,2001,8308,503
E01004221,Tower Hamlets 028D,705,2503,905,5708,601,4202,2009,1301,8708,405
E01032776,Tower Hamlets 028E,503,2407,303,4707,507,5203,1204,405,9404,103
E01032777,Tower Hamlets 028F,605,2202,804,4001,1102,5909,1707,11,8907,301
E01032778,Tower Hamlets 028G,6,2502,607,4106,605,5804,1502,206,9304,106
E01032779,Tower Hamlets 028H,503,2406,907,4904,806,5006,1003,604,9407,6
E01032780,Tower Hamlets 028I,306,2809,206,5507,209,4403,2203,207,9304,106
E01004214,Tower Hamlets 030A,1406,1202,1905,4208,1002,5702,609,3204,7608,903
E01004216,Tower Hamlets 030B,507,2009,9,5908,302,4002,2306,15,8608,307
E01004217,Tower Hamlets 030C,707,2107,1104,6204,309,3706,2101,2207,7908,702
E01004218,Tower Hamlets 030D,606,2405,802,6409,308,3501,2806,1207,8706,304
E01004274,Tower Hamlets 031A,1203,1607,15,3503,701,6407,1501,22,8307,505
E01004275,Tower Hamlets 031B,605,27,1002,6802,308,3108,22,1704,8706,402
E01004276,Tower Hamlets 031C,302,3302,204,7002,2,2908,3004,306,9408,7
E01004281,Tower Hamlets 031D,609,2508,509,5807,205,4103,2401,507,9203,2
E01032775,Tower Hamlets 031F,503,2807,403,5808,207,4102,2508,502,9306,108
E01032783,Tower Hamlets 031G,709,2106,803,5203,805,4707,1702,1303,8703,4
E01004280,Tower Hamlets 032A,904,2003,1103,4506,809,5404,1703,1709,8406,406
E01032770,Tower Hamlets 032B,9,2503,705,4408,601,5502,1509,1006,8907,307
E01032772,Tower Hamlets 032C,805,1901,601,4801,309,5109,1001,1707,8303,509
E01032773,Tower Hamlets 032D,701,2209,808,4302,808,5608,1703,707,9206,109
E01032774,Tower Hamlets 032E,1109,1909,1503,4703,906,5207,909,1909,8605,402
E01004277,Tower Hamlets 033A,204,3201,101,61,105,39,1909,302,9506,102
E01032771,Tower Hamlets 033B,606,2604,602,4201,603,5709,1003,1008,9003,304
E01032781,Tower Hamlets 033C,305,32,402,5904,303,4006,21,605,9108,205
E01032782,Tower Hamlets 033D,906,2009,805,4201,1003,5709,907,13,8802,404
E01004560,Wandsworth 001A,406,26,701,7805,907,2105,2603,606,9008,203
E01004566,Wandsworth 001B,402,2208,403,8605,305,1305,2209,703,89,306
E01004582,Wandsworth 001C,4,2404,704,7602,605,2308,2509,9,9102,203
E01004583,Wandsworth 001D,208,2402,901,7708,708,2202,2204,13,8204,408
E01004562,Wandsworth 002B,803,1504,1709,4905,2805,5005,1503,1705,8003,607
E01004563,Wandsworth 002C,907,1404,1603,5009,2608,4901,14,1702,8408,403
E01004564,Wandsworth 002D,402,2202,1002,77,1206,23,2309,1205,8608,307
E01004567,Wandsworth 002E,1003,1606,2303,43,3307,57,1109,1608,8409,407
E01033098,Wandsworth 002F,5,2007,3,6608,303,3302,18,202,9407,9
E01033100,Wandsworth 002G,509,1608,908,6003,1904,3907,1504,1401,8303,402
E01033132,Wandsworth 002H,605,1502,10,5801,1409,4109,1302,706,8909,304
E01004539,Wandsworth 003A,1106,1005,2606,4409,3301,5501,1208,2203,8106,509
E01004540,Wandsworth 003B,508,1807,1008,6909,1606,3001,2302,16,8309,605
E01004577,Wandsworth 003C,303,2107,706,8101,807,1809,2009,1207,8407,405
E01004584,Wandsworth 003D,1402,1004,29,4401,3801,5509,708,2006,8107,506
E01004579,Wandsworth 004B,605,2208,1002,7806,1007,2104,2509,1405,8701,306
E01004580,Wandsworth 004C,503,2201,903,7201,1207,2709,2508,1309,8706,306
E01004581,Wandsworth 004D,404,2204,708,7701,809,2209,2304,908,8701,307
E01033099,Wandsworth 004E,609,1409,1409,6102,2201,3808,18,906,8807,304
E01033101,Wandsworth 004F,307,3308,204,7304,3,2606,2906,209,94,104
E01033133,Wandsworth 004G,306,2509,704,69,1107,31,2203,407,9004,203
E01004565,Wandsworth 005A,308,2302,904,7906,905,2004,2208,1102,8902,305
E01004590,Wandsworth 005B,607,2101,1404,7306,1404,2604,2001,2301,8205,606
E01004591,Wandsworth 005C,505,2008,805,7006,1508,2904,2301,1204,8602,407
E01004592,Wandsworth 005D,606,24,1405,7801,1001,2109,2103,2108,8101,606
E01004604,Wandsworth 006A,305,3105,502,9308,8,602,42,409,9304,102
E01004605,Wandsworth 006B,3,2509,902,8407,407,1503,2608,1104,8506,404
E01004606,Wandsworth 006C,201,3304,4,9106,6,804,3102,408,9303,108
E01004607,Wandsworth 006D,309,3005,403,9006,102,904,3207,505,9207,201
E01004608,Wandsworth 006E,408,2403,608,8402,403,1508,2301,1006,8509,408
E01004535,Wandsworth 007A,1309,1003,2907,3205,4309,6705,805,2201,8207,503
E01004537,Wandsworth 007B,809,1403,1808,4806,3009,5104,1305,2104,8106,603
E01004538,Wandsworth 007C,808,1507,1708,5502,2501,4408,1708,1809,8407,401
E01004541,Wandsworth 007D,907,1505,1708,4601,3408,5309,14,26,7803,801
E01004534,Wandsworth 008A,3,2509,601,8406,5,1504,3109,806,9005,205
E01004536,Wandsworth 008B,7,1604,1309,5904,2205,4006,1805,1101,8505,404
E01004552,Wandsworth 008C,207,2603,201,8508,309,1402,2507,403,9307,105
E01004585,Wandsworth 008D,305,2501,609,8302,501,1608,2706,905,8908,208
E01004588,Wandsworth 008E,208,2705,404,8407,407,1503,3009,504,9301,205
E01004554,Wandsworth 009A,108,2806,4,8701,305,1209,3804,502,9307,103
E01004556,Wandsworth 009B,109,2307,306,8906,3,1004,4005,402,9309,107
E01004586,Wandsworth 009C,208,2402,305,8504,603,1406,3004,506,9208,2
E01004587,Wandsworth 009D,304,22,405,8406,403,1504,3403,607,9006,207
E01004589,Wandsworth 009E,205,3002,308,8902,402,1008,3508,407,9304,9
E01004509,Wandsworth 010A,302,2607,405,7703,505,2207,2504,608,9104,204
E01004511,Wandsworth 010B,108,2709,405,8601,201,1309,35,403,9307,2
E01004602,Wandsworth 010C,206,31,307,8603,302,1307,3102,504,9209,105
E01004609,Wandsworth 010E,206,29,206,8405,104,1505,2403,508,9203,2
E01033093,Wandsworth 010F,208,3304,303,8504,3,1406,2606,206,9502,7
E01033135,Wandsworth 010G,201,3301,205,8906,102,1004,36,402,9207,202
E01004506,Wandsworth 011A,205,2906,304,8102,301,1808,1902,607,9103,109
E01004638,Wandsworth 011B,307,3506,6,8808,107,1102,3108,608,9005,206
E01004639,Wandsworth 011C,209,2608,605,8207,308,1703,2205,902,88,209
E01004640,Wandsworth 011D,301,2809,304,8601,206,1309,2901,405,9201,204
E01004641,Wandsworth 011E,405,2307,10,7905,504,2005,29,1708,8303,503
E01004508,Wandsworth 012A,307,2807,509,8101,609,1809,2802,802,9101,203
E01004510,Wandsworth 012B,304,2805,701,7805,904,2105,3103,703,9101,208
E01004514,Wandsworth 012C,205,2903,506,8505,508,1405,3605,802,90,207
E01004515,Wandsworth 012D,505,2304,10,6706,1608,3204,2503,808,87,307
E01004551,Wandsworth 012E,402,2209,1107,7002,1407,2908,1503,1009,8605,401
E01004568,Wandsworth 013A,902,12,24,6503,17,3407,704,1302,8604,406
E01004574,Wandsworth 013B,1406,8,2904,5205,2202,4705,704,2009,8107,504
E01004575,Wandsworth 013C,7,1409,1701,69,1202,31,1004,2206,7706,709
E01004576,Wandsworth 013D,706,1808,1205,7007,907,2903,1607,1707,8009,507
E01004500,Wandsworth 014A,405,2104,505,81,305,19,1907,901,8503,503
E01004501,Wandsworth 014B,309,2008,901,7706,705,2204,2105,11,8701,405
E01004503,Wandsworth 014C,503,2807,506,8003,407,1907,2501,902,8604,409
E01004505,Wandsworth 014D,208,2701,306,7802,208,2108,27,604,8809,207
E01004507,Wandsworth 014E,303,2906,403,7906,303,2004,17,702,89,301
E01004553,Wandsworth 015A,307,2601,502,8503,601,1407,2709,704,9007,209
E01004557,Wandsworth 015B,304,2209,605,8603,409,1307,3008,806,8803,307
E01004558,Wandsworth 015C,206,23,7,8606,506,1304,3705,7,91,206
E01004559,Wandsworth 015D,209,2604,6,8802,502,1108,3908,601,9308,102
E01004619,Wandsworth 015E,403,28,508,8907,4,1003,3501,508,9208,205
E01004572,Wandsworth 016A,701,2202,1305,7107,1201,2803,2003,1304,8603,309
E01004642,Wandsworth 016B,502,1904,1403,7801,7,2109,2509,1607,8301,502
E01004643,Wandsworth 016C,504,1906,1405,6401,1107,3509,1905,1605,8207,603
E01004644,Wandsworth 016D,407,2304,1005,8001,602,1909,28,1705,8204,408
E01004645,Wandsworth 016E,807,1307,1905,6307,1805,3603,1903,2305,8007,8
E01004477,Wandsworth 017A,108,2905,403,92,101,8,3303,502,9209,106
E01004478,Wandsworth 017B,109,2308,5,8405,303,1505,3908,701,9109,2
E01004479,Wandsworth 017C,309,24,409,8804,305,1106,30,5,9202,203
E01004550,Wandsworth 017D,404,2503,1206,7701,901,2209,2504,1407,8203,402
E01004555,Wandsworth 017E,3,2803,503,8806,205,1104,44,601,9104,109
E01004494,Wandsworth 018A,4,2409,1006,72,1006,28,2604,1205,8602,401
E01004513,Wandsworth 018B,503,2404,1106,6502,1309,3408,3306,15,8409,407
E01004600,Wandsworth 018C,703,1806,1904,4409,3101,5501,1209,1407,86,405
E01004601,Wandsworth 018D,401,2502,803,6909,701,3001,29,16,8602,403
E01004493,Wandsworth 019A,401,3303,506,7802,706,2108,38,1006,8809,301
E01004512,Wandsworth 019B,209,2509,508,8305,405,1605,3401,908,8906,3
E01004620,Wandsworth 019C,504,2808,705,8008,708,1902,3606,1005,8908,3
E01004621,Wandsworth 019D,3,2805,506,8303,503,1607,3302,907,9001,209
E01004623,Wandsworth 019E,308,2802,607,8404,509,1506,4204,904,9005,209
E01004627,Wandsworth 019F,4,26,607,8507,603,1403,3702,809,8908,207
E01004499,Wandsworth 020A,406,2706,703,7901,607,2009,2702,609,8804,207
E01004502,Wandsworth 020B,205,30,408,83,106,17,4106,607,9202,202
E01004504,Wandsworth 020C,303,3002,401,7305,205,2605,3009,805,8909,207
E01004594,Wandsworth 020D,207,2503,603,8102,106,1808,3806,506,9301,104
E01004596,Wandsworth 020E,105,2808,602,8307,208,1603,4001,807,9007,108
E01004629,Wandsworth 020F,302,2907,709,7409,209,2501,30,1103,8701,303
E01004472,Wandsworth 021A,4,2608,505,8109,6,1801,3109,806,8906,302
E01004474,Wandsworth 021B,408,2701,405,7407,10,2503,2502,606,9009,204
E01004476,Wandsworth 021C,408,2209,509,7502,702,2408,2101,7,8709,305
E01004542,Wandsworth 021D,306,2703,507,8504,604,1406,4009,602,9102,109
