Codes,Names,over65,Workingage,Couple_househol_ with_dependent_children,Couple_household_without_dependent_children,One_person_household,Other_multi_person_household,Good_health,Fair_health,Bad_health,No_cars,car1,car2,No_qualifications,Level_1_qualifications,Level_2_qualifications, Apprenticeship,Level_3_qualifications,Level_4_qualifications_and_above,Other_qualifications,lntheft
E01000547,Brent 028C,9.43820225,74.2134831,13.9,21.2,35.3,19.5,83.8,11.1,5.2,59,35.7,4.7,15.2,7.3,7.8,1.2,10.8,44.9,12.8,1.82128191
E01000548,Brent 028D,7.87671233,80.6751468,7.6,21.9,43.6,17.9,82.5,11.7,5.8,68,28.4,2.8,14.2,8.2,7.5,1,9.2,44.1,15.7,4.12137323
E01000549,Brent 028E,8.26446281,75.0516529,14.9,24.7,34.5,16.1,87.7,8.5,3.8,51.5,42.7,5.3,9.9,5.5,8.2,0.9,8.7,56.7,10,1.73727128
E01000550,Brent 034B,9.96948118,71.6174975,10.7,18,40.1,14.1,79.4,12.9,7.7,61.9,33.4,4.2,19.8,10,10.7,1,9.4,35.3,13.8,2.75798618
E01000551,Brent 034C,8.35214447,64.0180587,13.9,10,41.9,12.2,79.1,13.5,7.5,67.4,28.2,4.1,25,14.6,13.5,1.3,9.4,24.1,12,2.20047987
E01000552,Brent 034D,9.30104568,64.5019263,16,7.8,44,12.5,76.7,13.7,9.6,68.1,28.2,3,25.4,13.9,15.6,1.6,9.7,19.9,13.9,1.96776257
E01000553,Brent 015A,8.23809524,73.4285714,15.9,16.4,24.1,31,83.2,11.7,5.1,51.4,38.5,9.2,20.6,9,9.9,1.3,10.3,31.8,17.1,3.08670405
E01000554,Brent 015B,8.29294561,70.4900377,18,19,25.2,24,83.7,11,5.2,46,43,9.7,18.5,9.6,9.7,1.4,8.5,35.1,17.2,0.47965001
E01000555,Brent 015C,11.2892452,70.2738811,18.8,22.3,24.2,24.8,85,9.5,5.5,30.1,44.7,20.1,12.9,8.8,9.7,0.8,9.7,46.7,11.4,1.20597481
E01000556,Brent 015D,4.54788657,79.2402354,11,15.4,39,22.1,86,9.6,4.4,70.1,24.5,3.6,15.5,9.3,10.4,0.6,10.2,35.4,18.6,3.62309171
E01000557,Brent 015E,7.20042988,78.7211177,13.3,21,32.1,25,85.1,10.2,4.8,57.7,35.4,5.3,13.3,8.8,7.5,1.3,8.8,45.6,14.8,1.86379267
E01000558,Brent 015F,9.8806366,76.127321,11.7,19.2,38.9,20.9,84.4,10.7,4.8,50.5,35.6,11.9,13.3,7.7,6.4,1,11.4,50.2,10,2.72470995
E01000559,Brent 018E,10.1766784,79.1519435,10.5,23.1,36,22,83.5,11.7,4.7,55.2,36.9,6.8,11.9,7.8,9.5,0.7,10.6,48.5,11,2.42545919
E01000560,Brent 023D,8.41063698,78.8497217,12.4,20.8,35.5,22.8,87.2,9.2,3.6,48.4,38.1,11.1,8.6,5.7,7.4,1.1,10.6,57.5,9,1.59886896
E01000561,Brent 023E,8.36565097,74.6260388,13.1,18,38.9,19.6,84.3,10.7,4.9,58.6,34.9,5.5,13.6,7.9,7.2,1.9,10.7,47.3,11.5,2.74164392
E01000562,Brent 008A,16.8604651,65.4392765,20.2,35.6,15.6,19.6,84.6,11.8,3.6,12.1,29.8,37.3,11.7,8.5,11.9,0.8,11.9,45,10.3,0.94933059
E01000563,Brent 008B,18.2432432,66.6216216,19.4,38,14.1,18.6,82.7,12.7,4.6,8,39,36.9,13.1,8.2,14.6,2,10,40.1,12,1.80518249
E01000564,Brent 013A,7.8343949,71.4012739,24.6,21.5,17.8,25.2,86.3,10.8,2.9,30.7,39.6,22,17.4,9.9,11.2,0.8,9.6,31.4,19.9,2.38213772
E01000565,Brent 013B,12.0162933,68.2959946,19.3,24.9,25.6,18.7,82.6,12.4,5,31.4,36,23.3,18.6,9.9,11,1.3,9.6,37.4,12.3,1.55860901
E01000566,Brent 008C,15.3745928,66.7752443,20,32,16.4,21.1,84.9,10,5.1,14.3,40,34.5,16.8,9.8,13.3,0.9,10.2,35.7,13.3,1.18090753
E01000567,Brent 016A,15.0724638,65,21.4,23.5,25.7,18.3,83.5,10.5,6,30.5,39.7,23.3,14.9,11.9,10.4,1.4,9,37.7,14.6,1.98050159
E01000568,Brent 008D,7.74336283,83.3628319,11.8,16.1,55.8,11.3,89.4,7.8,2.8,51.3,36.3,9.1,6.7,5.8,7.7,0.4,21.2,48.4,9.9,3.44731506
E01000569,Brent 008E,15.2715655,67.2204473,25.6,34.4,10.6,21.3,84.8,12.4,2.8,9.6,37.9,40.6,12.5,10.2,13,1.5,11.6,40.5,10.6,1.16155209
E01000570,Brent 012A,11.0829639,67.9544015,19.1,25.1,20.1,19.3,81.4,12.8,5.8,38.4,39,17.3,20,13.6,12.4,1.4,9.2,27,16.3,1.33496773
E01000571,Brent 012B,14.645577,66.6080844,19.9,26.6,14.5,28.5,81.7,13.5,4.9,19.5,38.8,31.7,18.9,9.4,9.8,1.2,10.7,35,15,1.86315783
E01000572,Brent 007A,12.221472,67.3193788,23.2,26.2,18.2,22.3,88,9,3,19.3,48.7,24.2,14.4,8.3,12.8,1.4,9.6,39.4,14.1,0.70589475
E01000573,Brent 007B,13.6591479,65.4135338,22.6,25.7,18.8,23.6,84.3,11.4,4.3,25.5,50,17.3,19.7,9.7,10.9,1,10.6,34.8,13.3,0.91879386
E01000574,Brent 007C,11.9557196,67.3800738,22.7,22.9,18.5,23.1,84.7,11.9,3.4,22,43.5,25,16.5,8.8,12,1.7,10.1,37,13.9,0.79481083
E01000575,Brent 007D,10.2425876,70.6738544,18.9,23.5,22.6,26.2,86.4,9.1,4.5,31.8,44.8,20.5,13.5,9.7,8.9,0.8,10.3,38.7,18.2,3.37109935
E01000576,Brent 012C,15.060241,67.4698795,15.5,24.2,22.7,29.4,83.2,13.6,3.2,30,42.1,20,15.3,9.7,10.9,0.8,9.8,38.2,15.3,2.38355416
E01000577,Brent 007E,5.61983471,66.5289256,24.6,16.1,20.3,19.7,84.6,10.2,5.2,41.7,49.2,7.8,19.4,11.4,10.9,0.9,9.6,30.7,17.1,2.51742984
E01000578,Brent 012D,19.9341021,64.9643053,13.2,22.2,33.8,20.3,78.2,14.8,7,37.3,41.9,16,19.1,8,9.8,1,7.8,38.2,16.1,2.39634647
E01000579,Brent 032A,8.64864865,76.036036,11.1,15.5,29.9,26.8,84.4,10.6,5,49.8,41.9,7.2,14.6,9.1,10.9,0.9,9.6,42.3,12.5,2.05512423
E01000580,Brent 032B,10.6565657,70.2020202,19.4,24.1,32.8,14,85.8,9.8,4.4,37.5,48.4,12.1,13.3,7.2,9,0.9,8.9,53.2,7.5,2.87225122
E01000581,Brent 030E,9.09677419,69.8064516,19.4,19.7,27.2,19.4,87.5,8.5,4,43.4,43,11.8,9.6,8.5,9.8,1.3,9.9,49.9,11,2.2008024
E01000582,Brent 032C,9.31239848,69.7888468,23.1,21.3,27.5,17.5,88.1,9.2,2.7,38.5,46,13.6,11,5.6,8.4,1,10.3,55,8.8,1.87134395
E01000583,Brent 032D,7.61108667,77.2547294,13,21.1,35.9,20,85,9.5,5.5,51.7,41.3,6.7,10.6,6.1,8.2,0.9,11,52.4,10.9,3.41300596
E01000584,Brent 033E,11.9764012,69.7935103,18.3,24.4,24.1,20.8,82.1,12.9,5,39.3,45.7,12.1,19,7.5,10,0.9,11.1,40.3,11.1,0.85861162
E01000585,Brent 033F,8.71003308,71.8302095,18.1,19.4,27.9,24.1,84.8,11,4.2,46.7,42.5,9.5,16.7,6.4,8.5,1,9,44.1,14.4,2.11251585
E01000586,Brent 032E,4.84330484,79.0801791,10.2,17,34.6,26.1,87.7,7.9,4.4,60.7,34.3,4.5,12.7,9,8.9,1.1,8.4,46.5,13.3,3.81058911
E01000587,Brent 001A,16.3348946,64.2271663,20.5,33.2,12.2,24.9,79.9,12.1,8,14.6,40,29.3,26.2,11.1,11.1,1.5,8.5,27.6,13.9,1.94958355
E01000588,Brent 002E,8.42057351,66.9549386,20.5,19.7,17.6,21.5,83.2,11.4,5.4,27.1,42.8,21.7,19.9,14.2,13.3,1.3,9.3,27.2,14.8,3.71271688
E01000589,Brent 001B,13.4575569,67.9606625,22.5,30.9,16.6,18.9,82.6,12,5.5,21.1,45.4,26.4,22.7,11.1,11.5,1.5,8.8,30.3,14,4.1036182
E01000590,Brent 001C,14.7568474,66.4617105,20.9,26,26.5,17.6,81.1,14,4.9,24.1,44.4,24.9,21.1,8.5,11.1,2.7,9.6,33.4,13.6,1.21010266
E01000591,Brent 003F,11.9036145,69.8313253,19.5,25.1,20.5,25.5,82.1,12,5.9,33.1,45.2,17.7,21.2,12,10.6,0.9,7.9,32.8,14.7,3.56049829
E01000592,Brent 001D,13.2552404,69.2355117,16.6,27,22.1,22.3,79.9,14.3,5.8,25,40.4,23.8,21.4,10.2,12.7,1.6,9.6,30.4,14.1,2.4067118
E01000593,Brent 001E,9.09090909,69.0253046,22.5,25.3,16.2,18.8,83.8,11.5,4.6,22.1,49,22.4,18.7,11.8,13.3,1,9.3,32,14,1.03376132
E01000594,Brent 001F,12.0141343,67.6089517,22.4,22.6,20.9,26.4,83.2,12.4,4.4,28.7,43.5,21.1,20.6,10.9,10.6,1.6,9.2,32.4,14.6,3.36236921
E01000595,Brent 027A,7.41839763,62.1364985,18.4,10,30.4,15.6,81.1,11.7,7.2,55.2,36.1,7.6,27,16.5,11.8,1.5,8.9,20.1,14.2,1.78081953
E01000596,Brent 021A,10.2715466,61.5112161,14.4,10,33.3,13.8,77.9,15,7.1,59.1,31.4,8.8,31.5,16.4,11.6,1.7,11,15.7,12.1,2.03785676
E01000599,Brent 027D,9.55657492,65.5963303,17,12.1,29.9,16.6,80.4,12.5,7.2,51.3,41.5,5.7,24,12.4,12.8,1.4,12.5,26.8,10.1,2.67593973
E01000600,Brent 027E,8.4025403,64.6800195,15.8,11.2,36.5,14.4,80.4,12.3,7.4,51,40.9,6.9,25.9,14.8,12.3,1.5,9.7,24.3,11.6,4.07941524
E01000601,Brent 021B,6.11295681,60.4651163,22.2,8,22,16.6,82,12.1,5.9,43.4,44,10.7,22.7,15.9,13.1,0.9,12.4,19.4,15.8,4.77859291
E01000602,Brent 021C,9.92861778,62.9461389,17.2,14.3,27.9,17,79.6,13.3,7.1,44.5,41,11.9,26,15.3,15,1.4,11.4,17.4,13.4,2.20662577
E01000603,Brent 021D,7.12844654,65.4337592,16.8,15.1,28.1,14.8,82.1,11.8,6.1,50.3,42.2,6.8,22.7,13,12.6,1,11,25.6,14.1,1.54914948
E01000604,Brent 021E,8.7202718,64.0996602,19.2,12.6,22.3,17.2,79.3,14.4,6.2,42.7,44.5,10.8,24.3,16.3,14.8,1.2,12.7,18.6,12.1,1.37719305
E01000605,Brent 021F,9.1456077,63.2972323,16.3,11.8,23.7,17.4,77.6,14.7,7.7,50.6,36,11.2,29.5,14,15,1.7,10.2,17.6,12,1.57141985
E01000606,Brent 016B,12.3976608,66.1988304,18.7,19,27.2,21.9,82.3,12.7,5,35.1,48.1,13.8,18.6,10.6,10.2,1.4,8.8,27.5,22.9,1.54294817
E01000607,Brent 013C,10.8412056,68.4660369,20.1,18.9,21.1,28.9,85.3,10.5,4.2,30.7,48.7,17.4,17.7,10,10.3,0.9,10,32.4,18.8,0.99290183
E01000608,Brent 013D,9.85417587,68.2280159,23,15.4,22.3,26.2,85.7,9.5,4.8,39.9,40.7,14.9,15.8,10.5,9.5,1,8.7,35.8,18.8,3.2776532
E01000609,Brent 016C,8.94660895,68.8311688,23.1,20.9,17.7,26.7,84.8,10.7,4.5,32.2,44.7,19.7,17.4,11.1,12.1,0.7,10.1,30.4,18,1.46533757
E01000610,Brent 019A,12.9715762,66.6666667,20.3,19.6,25.6,23,80.8,12,7.2,36.9,42.8,14,20.6,10.7,11,1.2,7.4,30.9,18.2,1.64247777
E01000611,Brent 016D,11.2367491,70.7420495,16.1,18.9,24.4,27.8,80.9,12.2,6.9,40.3,41.6,14.8,20.6,11.4,9.3,1.1,7.9,33.7,15.9,1.95545556
E01000612,Brent 019B,10.472155,70.6416465,20.2,20.3,21.7,27.3,81.8,12.5,5.7,35.5,41.3,17.9,18.6,11,11.1,1.3,9,30.7,18.2,1.28977279
E01000613,Brent 013E,7.89001793,71.5481172,20.2,20.2,29.4,17.5,84.2,10.8,5,43,44.1,10.3,16.8,11.3,10.5,1.1,9.8,36.9,13.7,1.09481949
E01000615,Brent 017B,9.794136,70.3056769,22.2,24.5,19,19.4,83.3,12.4,4.3,42.8,40.7,11.5,18.4,10.6,11.6,1.6,9.7,32,16.1,3.62246769
E01000616,Brent 020A,10.3606182,73.2684602,16.2,19.5,24.9,30.5,85.5,10.3,4.2,44.5,40.8,12.3,15.9,9.4,10.3,1.4,9.4,32.7,20.9,2.73793683
E01000617,Brent 017C,13.7142857,69.6,18.8,24.1,22.3,27.3,82.3,11.7,5.9,32.8,42,18.9,19.5,10.4,10.6,1.2,8.9,28.3,21.1,1.74296931
E01000618,Brent 017D,15.6802929,62.9652227,18,26,21.4,22.4,79.4,15.3,5.3,27.8,44,19.8,23.6,11.9,9.9,1.6,9,27.3,16.7,1.90380897
E01000619,Brent 017E,13.8619855,66.8280872,20.9,27.9,12.3,24.3,82,13,5,22.2,45.9,25.4,22.7,12.2,10.6,1.3,9.4,27.2,16.7,1.80059842
E01000620,Brent 020B,14.6938776,69.154519,18.2,25.2,18,27.4,80.5,10.6,8.9,34.2,41.4,17.6,23.1,11.3,11.6,1.2,9.6,27.1,16.2,1.94549357
E01000621,Brent 020C,11.1860596,69.9831366,21.6,19.5,17.1,28.8,82.9,13.2,3.9,34.8,41.2,18.5,22.4,11.6,10.4,0.8,8.8,25.8,20.2,2.06300592
E01000622,Brent 010D,8.20189274,71.2933754,19.2,16.4,33.8,16.5,81.6,13.2,5.2,45.6,40.7,10.7,19.5,12.3,12.7,1.4,9,24.3,20.7,0.92570995
E01000623,Brent 005C,12.1896163,67.6072235,24.8,27.5,16.6,21.1,83.5,12.5,4,17.6,46.4,24.8,20.5,12.3,12.9,1.8,11,27.4,14,2.89362705
E01000624,Brent 005D,16.6863905,63.2544379,18,30.1,25.3,18,81.3,12.4,6.3,17.5,49,26.9,21.5,12.4,11.3,2.3,9.3,27,16.1,1.08470938
E01000625,Brent 009E,17.087766,64.0292553,18,24.4,31.1,16,80,13.6,6.4,32.7,42.2,18.7,24.4,9.8,10.9,1.5,10.7,28.3,14.4,1.98976705
E01000626,Brent 010E,8.8,65.3333333,16.9,10.2,32.7,12.9,77.1,15.1,7.9,50.2,40.3,8.5,24,14.4,16.3,1.1,10.9,18.2,15.2,1.2039728
E01000627,Brent 014E,8.63157895,67.3157895,18.2,15.3,27.1,20.8,82.6,12,5.4,44.9,42.1,10.4,26.2,12.3,11.9,1.3,9.8,21.3,17,3.83548293
E01000628,Brent 014F,8.14383924,68.7466949,18.5,15.8,29.4,21.5,81.9,13.1,5.1,48.5,33.5,15,22.1,12.6,11.3,1.2,10.2,25.7,16.8,2.69509872
E01000629,Brent 005E,12.1402407,69.6493982,22.1,27.4,19.7,20.3,82.1,13,5,20.3,49.4,22.8,22.8,11.2,11.7,2,10.2,24.4,17.7,0.7386677
E01000630,Brent 026E,8.78438332,71.6060337,14.6,15.6,28.5,24.3,81,12.6,6.5,49.7,37.2,10.4,20.4,10.7,10.5,1.2,9.7,29.6,17.9,4.43431766
E01000631,Brent 019C,11.6896918,71.3071201,18.2,23.8,14.9,34.1,83.8,10.5,5.6,32.8,38.9,21.6,19.3,10.2,11.2,0.7,7.6,31.4,19.6,2.4121874
E01000632,Brent 029E,12.7455678,70.0527072,19,24.3,13.3,37,81,13.1,5.9,34.9,43.6,17.3,23.8,11.1,8.5,1.1,8.7,26,20.7,3.09291377
E01000633,Brent 019D,10.8629442,73.6040609,17.5,17.7,16.8,39.2,82.3,12,5.7,47.8,35.2,12.3,22.1,10,8.5,0.7,8.1,30.6,20,3.27321018
E01000634,Brent 019E,5.97524541,71.446863,24,16.8,17.7,27,85.5,10.4,4.1,41.2,43.4,12.9,19.1,12.2,9.8,0.7,9.3,28.4,20.5,1.98178118
E01000635,Brent 020D,7.95031056,73.1677019,18.3,19.4,22.5,27.8,84.2,11.1,4.8,55.4,34.1,8.9,17.8,11.3,10.8,0.5,7.9,30.8,21,4.85164199
E01000636,Brent 020E,11.5427928,73.2545045,14.5,24.1,17,34,81,14.1,4.9,36.1,42.5,16,23.3,8.7,11,1.2,9.7,25.6,20.5,2.98098442
E01000637,Brent 022B,8.8358209,73.5522388,13.8,16.2,31.4,25.5,82.5,10.8,6.7,56.8,36.8,5.5,18.2,9.4,9.2,1.3,11.6,34.1,16.2,1.68141141
E01000638,Brent 024A,5.67302733,72.8210418,14.1,14.5,30.6,23.2,83.9,12.1,4.1,66.3,27.4,5.3,22.3,10.1,9,1,9.4,24.6,23.7,3.16646902
E01000639,Brent 022C,6.94365396,78.8844622,12,21.1,31.8,26.7,88.6,8,3.5,60.5,33.2,5,12.7,8,7.3,1.2,9.6,44,17.2,1.73897728
E01000640,Brent 024B,6.64154498,72.4446538,14,14.2,31.2,26.1,83.7,12,4.2,64.7,28.7,5.1,23,9.8,10.4,0.7,9.2,28,18.9,3.254503
E01000641,Brent 024C,7.14652956,70.7969152,15.8,13.6,28.4,25.3,83.5,11.8,4.6,56.8,35.4,7.3,18.7,9.5,13.4,0.9,8.9,29.6,19.1,1.81964467
E01000642,Brent 022D,6.42648491,80.7692308,10.5,20.8,37.4,22.6,86.6,8.9,4.5,64.8,29.4,5.4,12.5,6.3,9.1,0.7,10.1,43.1,18.3,3.9051837
E01000643,Brent 024D,10.1584343,65.890028,16.5,9.6,36.4,15.6,79.5,13.6,6.9,50.8,40.2,7.3,22.9,14.1,11.8,1.3,10.1,26.6,13.2,3.33073892
E01000644,Brent 022E,8.9835729,71.7145791,15.7,16.3,28.6,25.4,84.1,11.1,4.8,52.6,38.6,7,18.1,8.8,9.7,1.6,10.8,36,14.9,2.70049262
E01000645,Bromley 007A,21.3090909,61.0181818,27.6,45,18.7,5.2,87.6,10,2.5,4.1,34.7,41.4,8.7,9.3,14.8,1.3,13.2,48.5,4.2,1.98413136
E01000646,Bromley 016A,20.0487508,63.4369287,19,28.3,37.8,6.7,83.5,11.4,5.1,26.2,43.5,22.9,15.8,10.8,14.3,1.6,10.1,41.7,5.7,3.59903875
E01000647,Bromley 016B,10.3169671,66.0658794,27.9,32.4,22.4,4.9,89.2,9.3,1.5,16.9,51.5,24.9,14.8,13.3,16.5,2.3,12.4,35.8,5,1.3161466
E01000648,Bromley 016C,12.2133028,64.7362385,31.9,30.2,23.1,5,89,8.7,2.3,13.6,49.1,27.6,14,12.1,13.7,2.8,13.3,38.7,5.4,3.18148829
E01000649,Bromley 007B,20.4442201,60.8783443,24.4,34.1,27.4,5.4,85.7,9.6,4.7,10.2,45.1,32.9,12.8,8.6,15,1.4,11.1,45.9,5.2,1.51362281
E01000650,Bromley 022A,20.9314495,58.974359,25.2,32.8,27.1,7.2,85.3,10.8,3.9,16.5,36.3,34.9,12.6,10.3,14.5,1.6,10.5,44.8,5.7,0.7386677
E01000651,Bromley 020A,25.8599509,56.6953317,24.9,28.4,35,5.9,79.8,13.1,7.1,18.1,51.3,23.5,18.4,10.4,15.7,2.2,11.2,37.1,5.1,0.20579491
E01000652,Bromley 022B,21.0461538,60.5538462,24.6,38.2,24,5.2,84.9,11.1,4,12.3,44.9,32.2,16.7,13.3,17.9,2.4,11.7,33.4,4.6,1.30625165
E01000653,Bromley 016D,26.1994949,56.8181818,23.4,36.8,27,5.9,81.5,14,4.5,13.2,36.8,38.5,16.3,9.1,14.3,1.4,11,39.8,8.1,2.02495336
E01000654,Bromley 039A,11.1547526,67.7926159,26.1,40.5,18.3,4.9,85.9,10.6,3.5,6.2,35.2,39.7,17.4,19,19.6,4.7,14.1,21.8,3.4,-0.2413763
E01000655,Bromley 039B,10.7331822,66.6666667,26.7,36.2,18.4,6.1,87.1,9.5,3.4,6.7,35,42.7,15.3,20.9,20.9,4.2,13.6,21.5,3.6,1.10639248
E01000656,Bromley 039C,15.7857143,66.3571429,25.5,42.9,17.4,7.5,87.8,9.8,2.4,6.2,31.3,41.8,18.1,17.5,17.7,3.7,13.7,25,4.3,1.27296568
E01000657,Bromley 039D,15.4379332,65.4064272,19.9,33.7,28.3,5.2,85.5,11.2,3.3,12.8,45.5,31.5,22,14.4,19.2,3.8,14.4,22.3,3.9,3.32234419
E01000658,Bromley 042A,26.8777614,58.3946981,18.5,47.1,21.5,5.8,81.4,13.3,5.2,9.5,37.5,38.5,21.6,15.5,17.4,6,11.9,22.8,4.7,1.63989712
E01000659,Bromley 039E,10.5335157,68.3994528,30.2,35.6,17.1,6.5,88.2,9.4,2.4,5.2,33.3,45.2,13.3,22.7,19.6,5.2,14.2,20.7,4.3,1.006489
E01000661,Bromley 026A,12.6097867,62.672522,15.5,17.6,30,6.6,78,14.8,7.2,39.8,42.5,13.7,29.4,16.6,16.9,2.5,9.7,18.2,6.7,2.17281075
E01000662,Bromley 026B,15.393452,64.1010913,21.9,28.4,27.2,7.6,81.3,13.4,5.3,23.8,45.4,24.4,25.3,14.2,16.8,3.3,10.6,24.4,5.3,2.08459767
E01000663,Bromley 026C,17.5783651,59.7418562,21.4,26.4,29.8,7.7,80.6,13.5,5.9,23.8,48,22.1,25.5,13.4,16,3.7,10.7,24.2,6.4,1.12270008
E01000664,Bromley 026D,15.0931677,62.7329193,24,27.8,24.7,7.5,84.5,11.6,3.9,19,44,26.3,22.8,16.9,16,5.2,12.1,22.7,4.4,1.82635091
E01000665,Bromley 033A,15.8677686,63.8567493,20.9,33.9,27.1,6.9,84,11.7,4.3,15.6,46.5,28.7,18.4,15.5,18.5,4.1,12,27.2,4.3,1.88882118
E01000666,Bromley 033B,25.1929438,59.8125689,19.5,43,25.9,5,87.2,10,2.8,9.1,35.6,38.4,15.2,13.3,18,3.2,10.9,35.1,4.3,2.29483741
E01000667,Bromley 033C,22.5925926,57.9012346,25.9,42,19.9,5.8,85.9,10.3,3.8,6.1,37.5,37.3,16.5,13.7,18.5,4.1,11.8,31.7,3.8,1.30933332
E01000668,Bromley 020B,11.4814815,67.7160494,25.5,25,31.5,6.8,86.8,10.2,3,21.1,54,20.8,16.1,15.4,16,2.4,10.6,34.8,4.8,2.77567039
E01000669,Bromley 020C,12.5598086,65.6100478,21.5,26.2,33.9,6.5,86.4,10.2,3.5,23,54.6,19.3,16.8,15.4,15,2.5,12.2,34,4,1.27773895
E01000670,Bromley 018A,14.1821946,68.3229814,19.3,30.6,34.8,5.7,89.2,8.5,2.3,27,45.5,21.3,7.8,9.6,13.8,0.6,12.5,49.7,5.8,1.98050159
E01000671,Bromley 020D,18.233945,63.5321101,20,25,38.4,8.8,84.9,11.2,3.9,30.9,46.2,18.6,16.7,11.4,15.8,2.9,12.2,35.2,5.8,2.00876803
E01000672,Bromley 011A,19.8684211,62.3026316,20.2,31.7,32,7.1,85.4,10.5,4.1,17.8,52.9,24.2,13.8,12,14.7,2.4,10.6,40,6.6,3.77094441
E01000673,Bromley 011B,13.8765118,64.735837,27.1,30.6,27.6,5.4,87.6,9,3.4,15.9,53.2,23.7,13.4,13.7,14.8,2,11.8,40.6,3.6,0.934582
E01000674,Bromley 008A,17.455243,67.1994885,15.8,22.4,47,8,84.1,10.9,4.9,33.2,50.7,13.8,17.7,10,13.1,2,11.1,39.4,6.8,1.95064863
E01000676,Bromley 008B,13.0835735,69.8559078,12.4,20.6,42.4,12.5,83.5,12,4.6,45.5,44.8,8.7,14.3,11.5,12.4,1.1,12.4,41.3,6.9,4.99417003
E01000677,Bromley 018C,7.34878462,70.3222159,22.5,26.3,32.9,6.6,88.2,9.1,2.7,27.1,57.4,14,9.7,11.6,15.1,2.2,11.1,44.9,5.5,4.68708096
E01000678,Bromley 016E,11.7750439,66.5495021,27.6,28.5,26.1,8.1,87.5,9.6,2.9,18.9,52.3,22.1,13.2,12.8,16.8,1.8,11.7,39.2,4.6,1.41117271
E01000679,Bromley 020E,10.7831325,65.6024096,26.6,26.9,25.1,8.2,88.5,9.3,2.2,18.7,52.1,22.5,15.1,14.4,16.4,2.5,13.7,32.9,5,1.28494187
E01000680,Bromley 037A,22.3741454,60.6587943,20.1,46,20.7,7,86.4,10.8,2.8,4.3,32,42.1,13.2,13.2,17,4,13,35.9,3.6,2.95837434
E01000682,Bromley 035B,23.0314961,58.2677165,25.1,34,30.4,2.3,84.3,12.3,3.4,16.4,48,27.9,19,14.4,17.7,2.3,11.9,31.2,3.5,2.06356819
E01000683,Bromley 035C,14.6984925,66.6457286,22,26.2,36.2,4.8,84.6,10.6,4.8,17.7,54.5,22.8,17.3,14.5,15.4,2.1,12,33.3,5.4,1.32676838
E01000684,Bromley 035D,14.8330059,62.6719057,32.9,37.5,18.2,4,88.9,8.6,2.5,7.1,45,37.8,13.9,12.4,17,3.1,12.7,36.5,4.4,-0.0178399
E01000685,Bromley 037B,15.5910543,63.5782748,25.6,29.1,26.2,8.9,83.1,12.5,4.4,18,45,27.3,21.6,16,15.8,3.6,11.5,27.7,3.8,1.16155209
E01000686,Bromley 037C,23.4748011,59.7480106,18.8,37.8,30.1,5.6,85.5,10.8,3.6,17,45.7,27.6,18.5,13.5,16.7,3.8,12,32,3.5,1.19865364
E01000687,Bromley 037D,20.6487835,61.3225203,21.6,39.2,23.9,5.2,86.7,10.9,2.4,11,49.4,30,17.6,12.3,17.5,3.2,12.9,31.8,4.7,3.21700258
E01000688,Bromley 037E,19.1208791,61.6117216,29.4,42.9,15.9,6.2,86.5,10.9,2.6,8.9,34.7,37.3,13,10.6,19.2,3,12.3,38.8,3.1,1.07513993
E01000689,Bromley 002A,18.7636364,63.5636364,16.2,27.5,37.9,7.2,78.9,13.4,7.7,27,41,23.5,23,14.8,15.5,3.6,10.9,26.3,5.9,2.38959647
E01000690,Bromley 002B,16.6191155,63.1954351,26.6,35,21.9,6.6,87.7,9.7,2.6,11,43.6,33.9,13.8,13.7,17.6,2.8,11.9,35.6,4.7,2.60653919
E01000691,Bromley 002C,16.689847,63.9777469,21.2,27.1,33.8,5.2,82.1,13.2,4.7,24.1,49.3,21.2,24.4,13.8,15.3,3.4,10.4,27.9,4.7,3.16310727
E01000692,Bromley 002D,15.6190476,64.6349206,22,34.7,27.9,5.5,87.3,10,2.7,17.9,49.9,24.7,14.2,13.8,17.5,3.5,10.7,36.6,3.8,3.20930637
E01000693,Bromley 010A,29.3349907,52.0198881,19.5,37,34.9,4.6,80.9,13.7,5.5,16.1,38.9,30.7,19.4,10.7,15.6,2,9.9,33.2,9.2,4.66605069
E01000694,Bromley 007C,26.0602336,55.3779963,26.8,43,21.7,4.9,85.2,11.8,3,10.6,40.5,37.3,14.7,9.4,15.7,3.2,9.5,42.8,4.8,0.61187446
E01000695,Bromley 007D,20.8165997,61.3788487,22.8,41.4,25.1,3.9,85.3,10.8,3.9,13.8,43.3,31.1,11.6,12.6,15.6,2.4,11,40.7,6.1,1.39030238
E01000696,Bromley 007E,27.344782,55.4161162,22,36.4,30.8,4.2,85.1,10.8,4.1,9.7,45.7,33.8,12.1,9.7,15.6,2.1,10.5,46.5,3.5,1.88782994
E01000697,Bromley 007F,18.0185759,66.6873065,17.6,32.8,37.6,7.1,87.5,9.5,3,13.2,54.5,25.5,9.5,7.5,13.2,1.9,12.3,51.2,4.5,1.31242451
E01000698,Bromley 010B,25.9729272,59.1370558,21,47.4,16.2,8.4,84.9,12.2,2.9,4.6,31.4,40.8,16.9,13.5,15.5,3.2,11.6,35.6,3.7,1.44222999
E01000699,Bromley 015A,6.86546463,72.6074896,16.8,19.3,39.2,9.6,85,10.6,4.4,44.1,42,11.4,14,15.4,16.8,1.7,9.8,35.6,6.8,1.93655405
